Year,UNIT_MEASURE,Sex,Age,Administrative area,Value
2013,Number,M,45,Federation of BiH,15855
2013,Number,M,46,Federation of BiH,16405
2013,Number,M,47,Federation of BiH,16673
2013,Number,M,48,Federation of BiH,16805
2013,Number,M,49,Federation of BiH,16856
2013,Number,M,50,Federation of BiH,16932
2013,Number,M,51,Federation of BiH,17349
2013,Number,M,52,Federation of BiH,17203
2013,Number,M,53,Federation of BiH,16748
2013,Number,M,54,Federation of BiH,17071
2013,Number,M,55,Federation of BiH,15630
2013,Number,M,56,Federation of BiH,15129
2013,Number,M,57,Federation of BiH,15231
2013,Number,M,58,Federation of BiH,15090
2013,Number,M,59,Federation of BiH,14488
2013,Number,M,60,Federation of BiH,14056
2013,Number,M,61,Federation of BiH,12507
2013,Number,M,62,Federation of BiH,11394
2013,Number,M,63,Federation of BiH,11285
2013,Number,M,64,Federation of BiH,10657
2013,Number,M,65,Federation of BiH,9092
2013,Number,M,66,Federation of BiH,9797
2013,Number,M,67,Federation of BiH,7429
2013,Number,M,68,Federation of BiH,6681
2013,Number,M,69,Federation of BiH,6439
2013,Number,M,70,Federation of BiH,6237
2013,Number,M,71,Federation of BiH,6969
2013,Number,M,72,Federation of BiH,7080
2013,Number,M,73,Federation of BiH,7467
2013,Number,M,74,Federation of BiH,6692
2013,Number,M,75,Federation of BiH,6253
2013,Number,M,76,Federation of BiH,5904
2013,Number,M,77,Federation of BiH,5463
2013,Number,M,78,Federation of BiH,4769
2013,Number,M,79,Federation of BiH,4306
2013,Number,M,80,Federation of BiH,3486
2013,Number,M,81,Federation of BiH,3255
2013,Number,M,82,Federation of BiH,2677
2013,Number,M,83,Federation of BiH,2263
2013,Number,M,84,Federation of BiH,1812
2013,Number,M,85+,Federation of BiH,4902
2013,Number,M,Unknown,Federation of BiH,0
2013,Number,M,Total,Federation of BiH,1087993
2013,Number,F,0,Federation of BiH,10581
2013,Number,F,1,Federation of BiH,10988
2013,Number,F,2,Federation of BiH,11056
2013,Number,F,3,Federation of BiH,11474
2013,Number,F,4,Federation of BiH,11727
2013,Number,F,5,Federation of BiH,11618
2013,Number,F,6,Federation of BiH,11072
2013,Number,F,7,Federation of BiH,11215
2013,Number,F,8,Federation of BiH,11277
2013,Number,F,9,Federation of BiH,11237
2013,Number,F,10,Federation of BiH,11518
2013,Number,F,11,Federation of BiH,11681
2013,Number,F,12,Federation of BiH,12202
2013,Number,F,13,Federation of BiH,12637
2013,Number,F,14,Federation of BiH,13522
2013,Number,F,15,Federation of BiH,14879
2013,Number,F,16,Federation of BiH,16932
2013,Number,F,17,Federation of BiH,17068
2013,Number,F,18,Federation of BiH,16591
2013,Number,F,19,Federation of BiH,13113
2013,Number,F,20,Federation of BiH,12272
2013,Number,F,21,Federation of BiH,14751
2013,Number,F,22,Federation of BiH,15660
2013,Number,F,23,Federation of BiH,15516
2013,Number,F,24,Federation of BiH,15600
2013,Number,F,25,Federation of BiH,16118
2013,Number,F,26,Federation of BiH,15645
2013,Number,F,27,Federation of BiH,15846
2013,Number,F,28,Federation of BiH,15889
2013,Number,F,29,Federation of BiH,16586
2013,Number,F,30,Federation of BiH,15886
2013,Number,F,31,Federation of BiH,15749
2013,Number,F,32,Federation of BiH,16055
2013,Number,F,33,Federation of BiH,15811
2013,Number,F,34,Federation of BiH,15555
2013,Number,F,35,Federation of BiH,15626
2013,Number,F,36,Federation of BiH,15712
2013,Number,F,37,Federation of BiH,16154
2013,Number,F,38,Federation of BiH,15646
2013,Number,F,39,Federation of BiH,15638
2013,Number,F,40,Federation of BiH,15457
2013,Number,F,41,Federation of BiH,15946
2013,Number,F,42,Federation of BiH,15542
2013,Number,F,43,Federation of BiH,14905
2013,Number,F,44,Federation of BiH,15858
2013,Number,F,45,Federation of BiH,16162
2013,Number,F,46,Federation of BiH,16613
2013,Number,F,47,Federation of BiH,17140
2013,Number,F,48,Federation of BiH,17373
2013,Number,F,49,Federation of BiH,17227
2013,Number,F,50,Federation of BiH,17408
2013,Number,F,51,Federation of BiH,18176
2013,Number,F,52,Federation of BiH,17803
2013,Number,F,53,Federation of BiH,17770
2013,Number,F,54,Federation of BiH,17536
2013,Number,F,55,Federation of BiH,16951
2013,Number,F,56,Federation of BiH,15777
2013,Number,F,57,Federation of BiH,16033
2013,Number,F,58,Federation of BiH,16371
2013,Number,F,59,Federation of BiH,15389
2013,Number,F,60,Federation of BiH,15575
2013,Number,F,61,Federation of BiH,14255
2013,Number,F,62,Federation of BiH,13044
2013,Number,F,63,Federation of BiH,13250
2013,Number,F,64,Federation of BiH,12590
2013,Number,F,65,Federation of BiH,11398
2013,Number,F,66,Federation of BiH,11859
2013,Number,F,67,Federation of BiH,9102
2013,Number,F,68,Federation of BiH,8553
2013,Number,F,69,Federation of BiH,8041
2013,Number,F,70,Federation of BiH,8325
2013,Number,F,71,Federation of BiH,9159
2013,Number,F,72,Federation of BiH,9645
2013,Number,F,73,Federation of BiH,10201
2013,Number,F,74,Federation of BiH,9248
2013,Number,F,75,Federation of BiH,9067
2013,Number,F,76,Federation of BiH,8290
2013,Number,F,77,Federation of BiH,7879
2013,Number,F,78,Federation of BiH,7222
2013,Number,F,79,Federation of BiH,6460
2013,Number,F,80,Federation of BiH,5631
2013,Number,F,81,Federation of BiH,5104
2013,Number,F,82,Federation of BiH,4167
2013,Number,F,83,Federation of BiH,3832
2013,Number,F,84,Federation of BiH,3000
2013,Number,F,85+,Federation of BiH,10790
2013,Number,F,Unknown,Federation of BiH,0
2013,Number,F,Total,Federation of BiH,1131227
2013,Number,Both sexes,0,Republika Srpska,10429
2013,Number,Both sexes,1,Republika Srpska,10772
2013,Number,Both sexes,2,Republika Srpska,10843
2013,Number,Both sexes,3,Republika Srpska,11419
2013,Number,Both sexes,4,Republika Srpska,11593
2013,Number,Both sexes,5,Republika Srpska,11423
2013,Number,Both sexes,6,Republika Srpska,11101
2013,Number,Both sexes,7,Republika Srpska,11156
2013,Number,Both sexes,8,Republika Srpska,11439
2013,Number,Both sexes,9,Republika Srpska,11497
2013,Number,Both sexes,10,Republika Srpska,11647
2013,Number,Both sexes,11,Republika Srpska,11856
2013,Number,Both sexes,12,Republika Srpska,12663
2013,Number,Both sexes,13,Republika Srpska,12738
2013,Number,Both sexes,14,Republika Srpska,13114
2013,Number,Both sexes,15,Republika Srpska,14028
2013,Number,Both sexes,16,Republika Srpska,15755
2013,Number,Both sexes,17,Republika Srpska,15004
2013,Number,Both sexes,18,Republika Srpska,15395
2013,Number,Both sexes,19,Republika Srpska,15356
2013,Number,Both sexes,20,Republika Srpska,12674
2013,Number,Both sexes,21,Republika Srpska,13765
2013,Number,Both sexes,22,Republika Srpska,15228
2013,Number,Both sexes,23,Republika Srpska,15159
2013,Number,Both sexes,24,Republika Srpska,15392
2013,Number,Both sexes,25,Republika Srpska,16111
2013,Number,Both sexes,26,Republika Srpska,16026
2013,Number,Both sexes,27,Republika Srpska,16257
2013,Number,Both sexes,28,Republika Srpska,16601
2013,Number,Both sexes,29,Republika Srpska,17391
2013,Number,Both sexes,30,Republika Srpska,17114
2013,Number,Both sexes,31,Republika Srpska,17339
2013,Number,Both sexes,32,Republika Srpska,17074
2013,Number,Both sexes,33,Republika Srpska,17163
2013,Number,Both sexes,34,Republika Srpska,16964
2013,Number,Both sexes,35,Republika Srpska,17055
2013,Number,Both sexes,36,Republika Srpska,17205
2013,Number,Both sexes,37,Republika Srpska,17747
2013,Number,Both sexes,38,Republika Srpska,16968
2013,Number,Both sexes,39,Republika Srpska,16470
2013,Number,Both sexes,40,Republika Srpska,16378
2013,Number,Both sexes,41,Republika Srpska,16692
