Year,UNIT_MEASURE,Administrative area,Value
2000,% of total,BiH,99.8
2000,% of total,Federation of BiH,100.0
2000,% of total,Republika Srpska,98.6
2006,% of total,BiH,99.6
2006,% of total,Federation of BiH,99.5
2006,% of total,Republika Srpska,99.8
2011,% of total,BiH,99.9
2011,% of total,Federation of BiH,99.9
2011,% of total,Republika Srpska,100.0
2011,% of total,Brčko District of BiH,100.0
