Year,UNIT_MEASURE,Sex,Value
2010,% of total,M,28.1
2011,% of total,M,29.2
2012,% of total,M,30.5
2013,% of total,M,27.4
2014,% of total,M,27.9
2015,% of total,M,29.2
2016,% of total,M,28.0
2017,% of total,M,24.5
2018,% of total,M,22.1
2010,% of total,F,28.0
2011,% of total,F,26.1
2012,% of total,F,26.2
2013,% of total,F,24.1
2014,% of total,F,24.0
2015,% of total,F,26.0
2016,% of total,F,24.7
2017,% of total,F,24.0
2018,% of total,F,21.1
