Year,UNIT_MEASURE,Value
2002,Number,10.0
2003,Number,5.0
2004,Number,18.0
2005,Number,18.0
2006,Number,15.0
2007,Number,22.0
2008,Number,15.0
2009,Number,10.0
2010,Number,22.0
2011,Number,30.0
2012,Number,18.0
2013,Number,14.0
2014,Number,21.0
2015,Number,12.0
2016,Number,16.0
2017,Number,20.0
2018,Number,17.0
2019,Number,42.0
