Year,UNIT_MEASURE,Value
2005,Number,3.0
2007,Number,3.0
2008,Number,4.0
2009,Number,5.0
2010,Number,4.0
2011,Number,2.0
2012,Number,4.0
2013,Number,3.0
2014,Number,1.0
2016,Number,3.0
2017,Number,1.0
2018,Number,9.0
2019,Number,10.0
