Year,UNIT_MEASURE,Administrative area,Value
2008,Number,Federation of BiH,189.5
2009,Number,Federation of BiH,190.0
2010,Number,Federation of BiH,157.8
2010,Number,Republika Srpska,204.9
2011,Number,Federation of BiH,217.3
2011,Number,Republika Srpska,218.3
2012,Number,Federation of BiH,232.3
2012,Number,Republika Srpska,226.9
2013,Number,Federation of BiH,235.1
2013,Number,Republika Srpska,251.7
2014,Number,Federation of BiH,240.7
2014,Number,Republika Srpska,237.9
2015,Number,Federation of BiH,249.3
2015,Number,Republika Srpska,263.7
2016,Number,Federation of BiH,254.2
2016,Number,Republika Srpska,272.1
2017,Number,Federation of BiH,258.6
2017,Number,Republika Srpska,290.1
2018,Number,Federation of BiH,279.6
