Year,UNIT_MEASURE,Value
2020,Број на 1.000 становника,10.9
2025,Број на 1.000 становника,11.9
2030,Број на 1.000 становника,13.0
2035,Број на 1.000 становника,14.4
2040,Број на 1.000 становника,15.9
2045,Број на 1.000 становника,17.4
2050,Број на 1.000 становника,18.6
2055,Број на 1.000 становника,19.7
2060,Број на 1.000 становника,20.5
2065,Број на 1.000 становника,21.3
2070,Број на 1.000 становника,22.0
