Year,UNIT_MEASURE,Ентитет,Value
2005,Број,BiH,421
2005,Број,Република Српска,421
2006,Број,BiH,409
2006,Број,Република Српска,409
2007,Број,BiH,797
2007,Број,FBiH,797
2008,Број,BiH,1235
2008,Број,FBiH,818
2008,Број,Република Српска,417
2009,Број,BiH,1226
2009,Број,FBiH,820
2009,Број,Република Српска,406
2010,Број,BiH,1226
2010,Број,FBiH,831
2010,Број,Република Српска,395
2011,Број,BiH,1224
2011,Број,FBiH,834
2011,Број,Република Српска,390
2012,Број,BiH,1244
2012,Број,FBiH,847
2012,Број,Република Српска,397
2013,Број,BiH,1132
2013,Број,FBiH,755
2013,Број,Република Српска,377
2014,Број,BiH,1116
2014,Број,FBiH,737
2014,Број,Република Српска,379
2015,Број,BiH,1088
2015,Број,FBiH,717
2015,Број,Република Српска,371
2016,Број,BiH,1075
2016,Број,FBiH,704
2016,Број,Република Српска,371
2017,Број,BiH,1050
2017,Број,FBiH,687
2017,Број,Република Српска,363
2018,Број,BiH,1063
2018,Број,FBiH,689
2018,Број,Република Српска,371
2019,Број,BiH,701
2019,Број,FBiH,701
2018,Број,Брчко Дистрикт БиХ,3
