Year,UNIT_MEASURE,Godine,Spol,Value
2018,Broj,0-4,Oba spola,3492023.0
2018,Broj,5-9,Oba spola,148947.0
2018,Broj,10-14,Oba spola,171135.0
2018,Broj,15-19,Oba spola,177098.0
2018,Broj,20-24,Oba spola,190602.0
2018,Broj,25-29,Oba spola,242893.0
2018,Broj,30-34,Oba spola,225428.0
2018,Broj,35-39,Oba spola,251233.0
2018,Broj,40-44,Oba spola,252481.0
2018,Broj,45-49,Oba spola,248144.0
2018,Broj,50-54,Oba spola,239073.0
2018,Broj,55-59,Oba spola,255492.0
2018,Broj,60-64,Oba spola,266164.0
2018,Broj,65-69,Oba spola,248062.0
2018,Broj,70-74,Oba spola,206798.0
2018,Broj,75-79,Oba spola,137662.0
2018,Broj,80-84,Oba spola,110151.0
2018,Broj,85-89,Oba spola,79091.0
2018,Broj,90-94,Oba spola,32495.0
2018,Broj,95-99,Oba spola,7766.0
2018,Broj,100-104,Oba spola,1075.0
2018,Broj,105-109,Oba spola,221.0
2018,Broj,110-114,Oba spola,12.0
2018,Broj,115-119,Oba spola,0.0
2018,Broj,120+,Oba spola,0.0
2018,Broj,120+,Oba spola,0.0
2018,_%,Total,Oba spola,100.0
2018,_%,0-4,Oba spola,4.27
2018,_%,5-9,Oba spola,4.9
2018,_%,10-14,Oba spola,5.07
2018,_%,15-19,Oba spola,5.46
2018,_%,20-24,Oba spola,6.96
2018,_%,25-29,Oba spola,6.46
2018,_%,30-34,Oba spola,7.19
2018,_%,35-39,Oba spola,7.23
2018,_%,40-44,Oba spola,7.11
2018,_%,45-49,Oba spola,6.85
2018,_%,50-54,Oba spola,7.32
2018,_%,55-59,Oba spola,7.62
2018,_%,60-64,Oba spola,7.1
2018,_%,65-69,Oba spola,5.92
2018,_%,70-74,Oba spola,3.94
2018,_%,75-79,Oba spola,3.15
2018,_%,80-84,Oba spola,2.26
2018,_%,85-89,Oba spola,0.93
2018,_%,90-94,Oba spola,0.22
2018,_%,95-99,Oba spola,0.03
2018,_%,100-104,Oba spola,0.01
2018,_%,105-109,Oba spola,0.0
2018,_%,110-114,Oba spola,0.0
2018,_%,115-119,Oba spola,0.0
2018,_%,120+,Oba spola,0.0
2018,_%,0-14,Oba spola,497180.0
2018,_%,0-18,Oba spola,647325.0
2018,_%,15-29,Oba spola,658923.0
2018,_%,15-49,Oba spola,1649854.0
2018,_%,15-64,Oba spola,2419572.0
2018,_%,65+,Oba spola,575271.0
2018,_%,75+,Oba spola,230811.0
2018,_%,85+,Oba spola,41569.0
2018,_%,100+,Oba spola,233.0
2018,_%,0-14,Oba spola,14.24
2018,_%,0-18,Oba spola,18.54
2018,_%,15-29,Oba spola,18.87
2018,_%,15-49,Oba spola,47.25
2018,_%,15-64,Oba spola,69.29
2018,_%,65+,Oba spola,16.47
2018,_%,75+,Oba spola,6.61
2018,_%,85+,Oba spola,1.19
2018,_%,100+,Oba spola,0.01
2020,Broj,0-4,Oba spola,3430316.35
2020,Broj,5-9,Oba spola,146421.55
2020,Broj,10-14,Oba spola,157739.47
2020,Broj,15-19,Oba spola,177407.96
2020,Broj,20-24,Oba spola,178593.11
2020,Broj,25-29,Oba spola,213398.66
2020,Broj,30-34,Oba spola,214211.15
2020,Broj,35-39,Oba spola,236476.26
2020,Broj,40-44,Oba spola,247934.84
2020,Broj,45-49,Oba spola,244996.58
2020,Broj,50-54,Oba spola,240020.87
2020,Broj,55-59,Oba spola,241454.3
2020,Broj,60-64,Oba spola,262446.33
2020,Broj,65-69,Oba spola,252299.2
2020,Broj,70-74,Oba spola,221359.6
2020,Broj,75-79,Oba spola,163146.24
2020,Broj,80-84,Oba spola,98627.21
2020,Broj,85-89,Oba spola,84431.3
2020,Broj,90-94,Oba spola,37760.85
2020,Broj,95-99,Oba spola,10118.62
2020,Broj,100-104,Oba spola,1293.83
2020,Broj,105-109,Oba spola,165.38
2020,Broj,110-114,Oba spola,12.82
2020,Broj,115-119,Oba spola,0.24
2020,Broj,120+,Oba spola,0.0
2020,Broj,120+,Oba spola,0.0
2020,_%,Total,Oba spola,100.0
2020,_%,0-4,Oba spola,4.27
2020,_%,5-9,Oba spola,4.6
2020,_%,10-14,Oba spola,5.17
2020,_%,15-19,Oba spola,5.21
2020,_%,20-24,Oba spola,6.22
2020,_%,25-29,Oba spola,6.24
2020,_%,30-34,Oba spola,6.89
2020,_%,35-39,Oba spola,7.23
2020,_%,40-44,Oba spola,7.14
2020,_%,45-49,Oba spola,7.0
2020,_%,50-54,Oba spola,7.04
2020,_%,55-59,Oba spola,7.65
2020,_%,60-64,Oba spola,7.35
2020,_%,65-69,Oba spola,6.45
2020,_%,70-74,Oba spola,4.76
2020,_%,75-79,Oba spola,2.88
2020,_%,80-84,Oba spola,2.46
2020,_%,85-89,Oba spola,1.1
2020,_%,90-94,Oba spola,0.29
2020,_%,95-99,Oba spola,0.04
2020,_%,100-104,Oba spola,0.0
2020,_%,105-109,Oba spola,0.0
2020,_%,110-114,Oba spola,0.0
2020,_%,115-119,Oba spola,0.0
2020,_%,120+,Oba spola,0.0
2020,_%,0-14,Oba spola,481568.97
2020,_%,0-18,Oba spola,623310.55
2020,_%,15-29,Oba spola,606202.92
2020,_%,15-49,Oba spola,1575631.46
2020,_%,15-64,Oba spola,2331831.29
2020,_%,65+,Oba spola,616916.09
2020,_%,75+,Oba spola,232410.25
2020,_%,85+,Oba spola,49351.73
2020,_%,100+,Oba spola,178.44
2020,_%,0-14,Oba spola,14.04
2020,_%,0-18,Oba spola,18.17
2020,_%,15-29,Oba spola,17.67
2020,_%,15-49,Oba spola,45.93
2020,_%,15-64,Oba spola,67.98
2020,_%,65+,Oba spola,17.98
2020,_%,75+,Oba spola,6.78
2020,_%,85+,Oba spola,1.44
2020,_%,100+,Oba spola,0.01
2025,Broj,0-4,Oba spola,3269526.46
2025,Broj,5-9,Oba spola,133214.28
2025,Broj,10-14,Oba spola,143022.18
2025,Broj,15-19,Oba spola,155594.32
2025,Broj,20-24,Oba spola,172127.24
2025,Broj,25-29,Oba spola,159922.25
2025,Broj,30-34,Oba spola,185213.08
2025,Broj,35-39,Oba spola,194146.16
2025,Broj,40-44,Oba spola,220196.28
