Year,UNIT_MEASURE,school_year_beginning,Spol,Value
2013,Broj,2011/2012,Oba spola,12773
2013,Broj,2012/2013,Oba spola,13043
2013,Broj,2013/2014,Oba spola,13037
2013,Broj,2014/2015,Oba spola,12774
2013,Broj,2015/2016,Oba spola,12859
2013,Broj,2016/2017,Oba spola,12652
2013,Broj,2017/2018,Oba spola,12591
2013,Broj,2018/2019,Oba spola,12551
2013,Broj,2019/2020,Oba spola,12716
2013,Broj,2020/2021,Oba spola,12735
2013,Broj,2011/2012,M,5413
2013,Broj,2012/2013,M,5404
2013,Broj,2013/2014,M,5350
2013,Broj,2014/2015,M,5172
2013,Broj,2015/2016,M,5163
2013,Broj,2016/2017,M,4999
2013,Broj,2017/2018,M,4870
2013,Broj,2018/2019,M,4815
2013,Broj,2019/2020,M,4888
2013,Broj,2020/2021,M,4814
2013,Broj,2011/2012,Ž,7360
2013,Broj,2012/2013,Ž,7639
2013,Broj,2013/2014,Ž,7687
2013,Broj,2014/2015,Ž,7602
2013,Broj,2015/2016,Ž,7696
2013,Broj,2016/2017,Ž,7653
2013,Broj,2017/2018,Ž,7721
2013,Broj,2018/2019,Ž,7736
2013,Broj,2019/2020,Ž,7828
2013,Broj,2020/2021,Ž,7921
