Year,UNIT_MEASURE,Entity,Value
1999,NUMBER,RS,457
2000,NUMBER,RS,393
2001,NUMBER,RS,382
2002,NUMBER,RS,334
2003,NUMBER,RS,325
2004,NUMBER,RS,307
2005,NUMBER,RS,263
2006,NUMBER,RS,278
2007,NUMBER,FBIH,351
2007,NUMBER,RS,313
2008,NUMBER,FBIH,348
2008,NUMBER,RS,310
2009,NUMBER,FBIH,361
2009,NUMBER,RS,306
2010,NUMBER,FBIH,368
2010,NUMBER,RS,305
2011,NUMBER,FBIH,368
2011,NUMBER,RS,308
2012,NUMBER,FBIH,366
2012,NUMBER,RS,319
2013,NUMBER,FBIH,350
2013,NUMBER,RS,320
2014,NUMBER,FBIH,358
2014,NUMBER,RS,326
2015,NUMBER,FBIH,357
2015,NUMBER,RS,400
2016,NUMBER,FBIH,377
2016,NUMBER,RS,400
2017,NUMBER,FBIH,373
2017,NUMBER,RS,395
2018,NUMBER,FBIH,362
2018,NUMBER,RS,420
2019,NUMBER,FBIH,359
