Year,UNIT_MEASURE,Административно подручје,Value
2002,Број,BiH,10.0
2003,Број,BiH,5.0
2004,Број,BiH,18.0
2005,Број,BiH,18.0
2006,Број,BiH,15.0
2007,Број,BiH,22.0
2008,Број,BiH,15.0
2009,Број,BiH,10.0
2010,Број,BiH,22.0
2011,Број,BiH,30.0
2012,Број,BiH,18.0
2013,Број,BiH,14.0
2014,Број,BiH,21.0
2015,Број,BiH,12.0
2016,Број,BiH,16.0
2017,Број,BiH,20.0
2018,Број,BiH,17.0
2019,Број,BiH,42.0
