Year,UNIT_MEASURE,Entitet,Value
2008,Broj,FBiH,189.5
2009,Broj,FBiH,190.0
2010,Broj,FBiH,157.8
2010,Broj,Republika Srpska,204.9
2011,Broj,FBiH,217.3
2011,Broj,Republika Srpska,218.3
2012,Broj,FBiH,232.3
2012,Broj,Republika Srpska,226.9
2013,Broj,FBiH,235.1
2013,Broj,Republika Srpska,251.7
2014,Broj,FBiH,240.7
2014,Broj,Republika Srpska,237.9
2015,Broj,FBiH,249.3
2015,Broj,Republika Srpska,263.7
2016,Broj,FBiH,254.2
2016,Broj,Republika Srpska,272.1
2017,Broj,FBiH,258.6
2017,Broj,Republika Srpska,290.1
2018,Broj,FBiH,279.6
