Year,SEX,ADMIN_AREA,UNIT_MEASURE,Value
1996,M,BiH,Age,27.7
1997,M,BiH,Age,28.0
1998,M,BiH,Age,27.9
1999,M,BiH,Age,27.8
2000,M,BiH,Age,27.8
2001,M,BiH,Age,27.8
2002,M,BiH,Age,27.8
2003,M,BiH,Age,28.1
2004,M,BiH,Age,28.0
2005,M,BiH,Age,28.1
2006,M,BiH,Age,28.3
2007,M,BiH,Age,28.3
2008,M,BiH,Age,28.3
2009,M,BiH,Age,28.3
2010,M,BiH,Age,28.9
2011,M,BiH,Age,29.1
2012,M,BiH,Age,29.3
2013,M,BiH,Age,29.6
2014,M,BiH,Age,29.6
2015,M,BiH,Age,29.5
2016,M,BiH,Age,29.4
2017,M,BiH,Age,29.5
2018,M,BiH,Age,29.7
2019,M,BiH,Age,29.5
1996,F,BiH,Age,24.2
1997,F,BiH,Age,24.3
1998,F,BiH,Age,24.3
1999,F,BiH,Age,24.3
2000,F,BiH,Age,24.2
2001,F,BiH,Age,24.2
2002,F,BiH,Age,24.3
2003,F,BiH,Age,24.6
2004,F,BiH,Age,24.5
2005,F,BiH,Age,24.6
2006,F,BiH,Age,24.9
2007,F,BiH,Age,24.9
2008,F,BiH,Age,24.9
2009,F,BiH,Age,24.8
2010,F,BiH,Age,25.7
2011,F,BiH,Age,25.9
2012,F,BiH,Age,26.1
2013,F,BiH,Age,26.4
2014,F,BiH,Age,26.4
2015,F,BiH,Age,26.4
2016,F,BiH,Age,26.4
2017,F,BiH,Age,26.6
2018,F,BiH,Age,27.1
2019,F,BiH,Age,26.8
1996,M,FBIH,Age,27.7
1997,M,FBIH,Age,27.4
1998,M,FBIH,Age,27.4
1999,M,FBIH,Age,27.5
2000,M,FBIH,Age,27.6
2001,M,FBIH,Age,27.6
2002,M,FBIH,Age,27.7
2003,M,FBIH,Age,27.7
2004,M,FBIH,Age,27.8
2005,M,FBIH,Age,27.8
2006,M,FBIH,Age,27.9
2007,M,FBIH,Age,27.9
2008,M,FBIH,Age,28.1
2009,M,FBIH,Age,28.1
2010,M,FBIH,Age,28.6
2011,M,FBIH,Age,28.1
2012,M,FBIH,Age,28.4
2013,M,FBIH,Age,28.3
2014,M,FBIH,Age,28.3
2015,M,FBIH,Age,28.5
2016,M,FBIH,Age,28.3
2017,M,FBIH,Age,28.3
2018,M,FBIH,Age,28.5
2019,M,FBIH,Age,28.3
1996,F,FBIH,Age,24.4
1997,F,FBIH,Age,23.8
1998,F,FBIH,Age,24.4
1999,F,FBIH,Age,24.2
2000,F,FBIH,Age,23.9
2001,F,FBIH,Age,24.0
2002,F,FBIH,Age,24.1
2003,F,FBIH,Age,24.2
2004,F,FBIH,Age,24.2
2005,F,FBIH,Age,24.3
2006,F,FBIH,Age,24.3
2007,F,FBIH,Age,24.5
2008,F,FBIH,Age,24.6
2009,F,FBIH,Age,24.8
2010,F,FBIH,Age,24.9
2011,F,FBIH,Age,25.0
2012,F,FBIH,Age,25.2
2013,F,FBIH,Age,25.5
2014,F,FBIH,Age,25.2
2015,F,FBIH,Age,25.5
2016,F,FBIH,Age,25.4
2017,F,FBIH,Age,25.5
2018,F,FBIH,Age,25.8
2019,F,FBIH,Age,25.7
1998,M,RS,Age,28.6
2000,M,RS,Age,28.6
2003,M,RS,Age,28.3
2004,M,RS,Age,28.4
2005,M,RS,Age,28.6
2006,M,RS,Age,28.9
2007,M,RS,Age,28.9
2008,M,RS,Age,29.1
2009,M,RS,Age,29.1
2010,M,RS,Age,29.2
2011,M,RS,Age,29.5
2012,M,RS,Age,29.6
2013,M,RS,Age,29.9
2014,M,RS,Age,30.1
2015,M,RS,Age,30.0
2016,M,RS,Age,29.9
2017,M,RS,Age,30.2
2018,M,RS,Age,30.3
2019,M,RS,Age,30.2
1998,F,RS,Age,24.7
2000,F,RS,Age,24.9
2003,F,RS,Age,24.7
2004,F,RS,Age,24.8
2005,F,RS,Age,25.0
2006,F,RS,Age,25.3
2007,F,RS,Age,25.4
2008,F,RS,Age,25.4
2009,F,RS,Age,25.8
2010,F,RS,Age,25.9
2011,F,RS,Age,26.1
2012,F,RS,Age,26.3
2013,F,RS,Age,26.6
2014,F,RS,Age,26.7
2015,F,RS,Age,26.6
2016,F,RS,Age,26.7
2017,F,RS,Age,27.0
2018,F,RS,Age,27.3
2019,F,RS,Age,27.2
2004,M,BD,Age,30.0
2005,M,BD,Age,29.8
2006,M,BD,Age,30.1
2007,M,BD,Age,31.2
2008,M,BD,Age,30.1
2009,M,BD,Age,30.3
2010,M,BD,Age,29.3
2011,M,BD,Age,30.5
2012,M,BD,Age,30.7
2013,M,BD,Age,32.7
2014,M,BD,Age,30.7
2015,M,BD,Age,30.7
2016,M,BD,Age,33.8
2017,M,BD,Age,32.2
2018,M,BD,Age,32.4
2019,M,BD,Age,32.2
2004,F,BD,Age,26.9
2005,F,BD,Age,26.7
2006,F,BD,Age,26.0
2007,F,BD,Age,27.8
2008,F,BD,Age,26.6
2009,F,BD,Age,27.1
2010,F,BD,Age,27.0
2011,F,BD,Age,27.3
2012,F,BD,Age,27.8
2013,F,BD,Age,29.0
2014,F,BD,Age,28.1
2015,F,BD,Age,27.8
2016,F,BD,Age,30.7
2017,F,BD,Age,29.0
2018,F,BD,Age,29.2
2019,F,BD,Age,29.4
