Year,Administrative area,Sex,Infant Mortality Infant (up to 12 months of age) mortality rate,UNIT_MEASURE,Value
1971,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,22.0
1981,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,17.2
1991,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,14.9
1996,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,14.01468
1997,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,12.41812509
1998,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,10.97607039
1999,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,10.14977393
2000,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,9.680762328
2001,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.609300846
2002,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,9.385449743
2003,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.60628938
2004,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.197519274
2005,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.728853207
2006,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.492727647
2007,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.827249889
2008,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.876170412
2009,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.483357453
2010,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.442376521
2011,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.784162711
2012,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.438289243
2013,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.898839786
2014,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.153957975
2015,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.113537118
2016,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.897359441
2017,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.490066225
