Year,Administrative area,Sex,Infant Mortality Infant (up to 12 months of age) mortality rate,UNIT_MEASURE,Value
2018,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.210336987
2019,BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.699576869
1996,BiH,M,Infant (up to 12 months of age) mortality rate,Number,14.75530781
1997,BiH,M,Infant (up to 12 months of age) mortality rate,Number,14.58670989
1998,BiH,M,Infant (up to 12 months of age) mortality rate,Number,12.89220918
1999,BiH,M,Infant (up to 12 months of age) mortality rate,Number,11.18506193
2000,BiH,M,Infant (up to 12 months of age) mortality rate,Number,10.7806145
2001,BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.195876289
2002,BiH,M,Infant (up to 12 months of age) mortality rate,Number,10.43886976
2003,BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.40152755
2004,BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.327358959
2005,BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.473169635
2006,BiH,M,Infant (up to 12 months of age) mortality rate,Number,9.004388215
2007,BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.528230866
2008,BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.44953085
2009,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.44408644
2010,BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.235052382
2011,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.714657311
2012,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.611078023
2013,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.883485949
2014,BiH,M,Infant (up to 12 months of age) mortality rate,Number,4.744502148
2015,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.140580089
2016,BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.062865869
2017,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.698991961
2018,BiH,M,Infant (up to 12 months of age) mortality rate,Number,5.96017815
2019,BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.889099014
1996,BiH,F,Infant (up to 12 months of age) mortality rate,Number,13.20057668
1997,BiH,F,Infant (up to 12 months of age) mortality rate,Number,10.04329004
1998,BiH,F,Infant (up to 12 months of age) mortality rate,Number,8.896302474
1999,BiH,F,Infant (up to 12 months of age) mortality rate,Number,9.074323027
2000,BiH,F,Infant (up to 12 months of age) mortality rate,Number,8.509083316
2001,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.988043894
2002,BiH,F,Infant (up to 12 months of age) mortality rate,Number,8.270676692
2003,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.743965925
2004,BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.993653778
2005,BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.941770648
2006,BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.883780177
2007,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.07324704
2008,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.268458803
2009,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.526074083
2010,BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.599655406
2011,BiH,F,Infant (up to 12 months of age) mortality rate,Number,4.777486911
2012,BiH,F,Infant (up to 12 months of age) mortality rate,Number,4.188614584
2013,BiH,F,Infant (up to 12 months of age) mortality rate,Number,4.848811368
2014,BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.589257719
2015,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.084912184
2016,BiH,F,Infant (up to 12 months of age) mortality rate,Number,4.631229695
2017,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.264628941
2018,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.47932953
2019,BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.492548325
1996,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,13.8
1997,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,12.97224813
1998,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,12.13468869
1999,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,11.15720212
2000,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,11.03578748
2001,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.909984179
2002,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,10.5371812
2003,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.718922652
2004,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.539325843
2005,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.844715966
2006,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,9.48986205
2007,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.887865531
2008,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.464223386
2009,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.550298957
2010,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.684746671
2011,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.642170718
2012,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.473546945
2013,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.346736163
2014,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.38832998
2015,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.95536729
2016,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.479012974
2017,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.171912833
2018,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.3602307
2019,Federation of BiH,Both sexes,Infant (up to 12 months of age) mortality rate,Number,9.267994894
1997,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,15.36662769
1998,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,14.37836515
1999,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,12.2173852
2000,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,12.45415648
2001,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,9.556977403
2002,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,11.56553805
2003,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,10.09683026
2004,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,9.323806204
2005,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,10.01151768
2006,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,11.33220309
2007,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,10.09474896
2008,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,9.377664109
2009,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.325698889
2010,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,9.08225932
2011,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.717450518
2012,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,7.620584544
2013,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.468867289
2014,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,6.18556701
2015,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.498583569
2016,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.517720775
2017,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.490289841
2018,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,8.314514473
2019,Federation of BiH,M,Infant (up to 12 months of age) mortality rate,Number,9.526867908
1997,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,10.3408187
1998,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,9.711945032
1999,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,10.05684303
2000,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,9.524584826
2001,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,8.225516237
2002,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,9.453131902
2003,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.216959856
2004,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.703731205
2005,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.607776839
2006,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.503607504
2007,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.580118979
2008,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.506702413
2009,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.791972456
2010,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.191664356
2011,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.482670844
2012,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,5.233572398
2013,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.151322534
2014,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.601340897
2015,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.388642601
2016,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,6.355258977
2017,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,7.831262399
2018,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,8.408867533
2019,Federation of BiH,F,Infant (up to 12 months of age) mortality rate,Number,8.98928201
1996,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,14.59675446
1997,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,11.33968162
1998,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.279736823
1999,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,8.206896552
2000,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.258121345
2001,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.328856121
2002,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,7.214656291
2003,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,6.073835057
2004,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,5.73955589
2005,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,3.584576632
2006,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,4.75104523
2007,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,3.758654797
2008,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,3.922337713
2009,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,4.809959445
2010,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,4.336257022
2011,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,4.497437507
2012,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,3.708157947
2013,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,3.470031546
2014,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,3.106588109
2015,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,2.778668377
2016,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,2.43334744
2017,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,2.784023985
2018,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,1.776755853
2019,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,1.617425059
1996,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,15.54648241
1997,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,12.95986622
1998,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,9.461940404
1999,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,9.196645929
2000,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,7.787949173
2001,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,5.813129165
2002,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,8.326787117
2003,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,5.871559633
2004,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,7.796917498
2005,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,3.772161449
2006,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,5.793309662
2007,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,3.459542572
2008,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,3.800836184
2009,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,5.199928277
2010,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,3.858024691
2011,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,5.191693291
2012,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,4.912556494
2013,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,4.279600571
2014,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,2.269913331
2015,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,1.858736059
2016,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,3.447576556
2017,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,2.660663119
2018,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,1.399720056
2019,Republika Srpska,M,Infant (up to 12 months of age) mortality rate,Number,1.426533524
1996,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,13.57082273
1997,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,9.57301322
1998,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,6.981073534
1999,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,7.177033493
2000,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,6.693830035
2001,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,4.814926271
2002,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,6.029140847
2003,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,6.290544525
2004,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,3.520438099
2005,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,3.386454183
2006,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,3.672917069
2007,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,4.075810067
2008,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,4.051863857
2009,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,4.377238361
2010,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,4.835784808
2011,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,3.733801889
2012,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,2.454489671
2013,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,2.606995438
2014,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,4.009801738
2015,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,3.765227021
2016,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,1.327140013
2017,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,2.919380193
2018,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,2.189621196
2019,Republika Srpska,F,Infant (up to 12 months of age) mortality rate,Number,1.831921227
1996,BiH,Both sexes,Number of infant deaths,Number,653.0
1997,BiH,Both sexes,Number of infant deaths,Number,601.0
1998,BiH,Both sexes,Number of infant deaths,Number,494.0
1999,BiH,Both sexes,Number of infant deaths,Number,431.0
2000,BiH,Both sexes,Number of infant deaths,Number,383.0
2001,BiH,Both sexes,Number of infant deaths,Number,287.0
2002,BiH,Both sexes,Number of infant deaths,Number,334.0
2003,BiH,Both sexes,Number of infant deaths,Number,268.0
2004,BiH,Both sexes,Number of infant deaths,Number,253.0
2005,BiH,Both sexes,Number of infant deaths,Number,233.0
2006,BiH,Both sexes,Number of infant deaths,Number,255.0
2007,BiH,Both sexes,Number of infant deaths,Number,231.0
2008,BiH,Both sexes,Number of infant deaths,Number,235.0
2009,BiH,Both sexes,Number of infant deaths,Number,224.0
2010,BiH,Both sexes,Number of infant deaths,Number,216.0
2011,BiH,Both sexes,Number of infant deaths,Number,184.0
2012,BiH,Both sexes,Number of infant deaths,Number,177.0
2013,BiH,Both sexes,Number of infant deaths,Number,181.0
2014,BiH,Both sexes,Number of infant deaths,Number,156.0
2015,BiH,Both sexes,Number of infant deaths,Number,182.0
2016,BiH,Both sexes,Number of infant deaths,Number,178.0
2017,BiH,Both sexes,Number of infant deaths,Number,196.0
2018,BiH,Both sexes,Number of infant deaths,Number,183.0
2019,BiH,Both sexes,Number of infant deaths,Number,190.0
1996,BiH,M,Number of infant deaths,Number,360.0
1997,BiH,M,Number of infant deaths,Number,369.0
1998,BiH,M,Number of infant deaths,Number,302.0
1999,BiH,M,Number of infant deaths,Number,242.0
2000,BiH,M,Number of infant deaths,Number,220.0
2001,BiH,M,Number of infant deaths,Number,159.0
2002,BiH,M,Number of infant deaths,Number,191.0
2003,BiH,M,Number of infant deaths,Number,154.0
2004,BiH,M,Number of infant deaths,Number,151.0
2005,BiH,M,Number of infant deaths,Number,133.0
2006,BiH,M,Number of infant deaths,Number,158.0
2007,BiH,M,Number of infant deaths,Number,132.0
2008,BiH,M,Number of infant deaths,Number,131.0
2009,BiH,M,Number of infant deaths,Number,116.0
2010,BiH,M,Number of infant deaths,Number,125.0
2011,BiH,M,Number of infant deaths,Number,111.0
2012,BiH,M,Number of infant deaths,Number,111.0
2013,BiH,M,Number of infant deaths,Number,109.0
2014,BiH,M,Number of infant deaths,Number,74.0
2015,BiH,M,Number of infant deaths,Number,94.0
2016,BiH,M,Number of infant deaths,Number,111.0
2017,BiH,M,Number of infant deaths,Number,105.0
2018,BiH,M,Number of infant deaths,Number,91.0
2019,BiH,M,Number of infant deaths,Number,102.0
1996,BiH,F,Number of infant deaths,Number,293.0
1997,BiH,F,Number of infant deaths,Number,232.0
1998,BiH,F,Number of infant deaths,Number,192.0
1999,BiH,F,Number of infant deaths,Number,189.0
2000,BiH,F,Number of infant deaths,Number,163.0
2001,BiH,F,Number of infant deaths,Number,128.0
2002,BiH,F,Number of infant deaths,Number,143.0
2003,BiH,F,Number of infant deaths,Number,114.0
2004,BiH,F,Number of infant deaths,Number,102.0
2005,BiH,F,Number of infant deaths,Number,100.0
2006,BiH,F,Number of infant deaths,Number,97.0
2007,BiH,F,Number of infant deaths,Number,99.0
2008,BiH,F,Number of infant deaths,Number,104.0
2009,BiH,F,Number of infant deaths,Number,108.0
2010,BiH,F,Number of infant deaths,Number,91.0
2011,BiH,F,Number of infant deaths,Number,73.0
2012,BiH,F,Number of infant deaths,Number,66.0
2013,BiH,F,Number of infant deaths,Number,72.0
2014,BiH,F,Number of infant deaths,Number,82.0
2015,BiH,F,Number of infant deaths,Number,88.0
2016,BiH,F,Number of infant deaths,Number,67.0
2017,BiH,F,Number of infant deaths,Number,91.0
2018,BiH,F,Number of infant deaths,Number,92.0
2019,BiH,F,Number of infant deaths,Number,88.0
1997,Federation of BiH,Both sexes,Number of infant deaths,Number,445.0
1998,Federation of BiH,Both sexes,Number of infant deaths,Number,382.0
1999,Federation of BiH,Both sexes,Number of infant deaths,Number,312.0
2000,Federation of BiH,Both sexes,Number of infant deaths,Number,280.0
2001,Federation of BiH,Both sexes,Number of infant deaths,Number,214.0
2002,Federation of BiH,Both sexes,Number of infant deaths,Number,245.0
2003,Federation of BiH,Both sexes,Number of infant deaths,Number,202.0
2004,Federation of BiH,Both sexes,Number of infant deaths,Number,190.0
2005,Federation of BiH,Both sexes,Number of infant deaths,Number,194.0
2006,Federation of BiH,Both sexes,Number of infant deaths,Number,205.0
2007,Federation of BiH,Both sexes,Number of infant deaths,Number,193.0
2008,Federation of BiH,Both sexes,Number of infant deaths,Number,194.0
2009,Federation of BiH,Both sexes,Number of infant deaths,Number,173.0
2010,Federation of BiH,Both sexes,Number of infant deaths,Number,172.0
2011,Federation of BiH,Both sexes,Number of infant deaths,Number,141.0
2012,Federation of BiH,Both sexes,Number of infant deaths,Number,139.0
2013,Federation of BiH,Both sexes,Number of infant deaths,Number,148.0
2014,Federation of BiH,Both sexes,Number of infant deaths,Number,127.0
2015,Federation of BiH,Both sexes,Number of infant deaths,Number,154.0
2016,Federation of BiH,Both sexes,Number of infant deaths,Number,147.0
2017,Federation of BiH,Both sexes,Number of infant deaths,Number,162.0
2018,Federation of BiH,Both sexes,Number of infant deaths,Number,158.0
2019,Federation of BiH,Both sexes,Number of infant deaths,Number,167.0
1997,Federation of BiH,M,Number of infant deaths,Number,276.0
1998,Federation of BiH,M,Number of infant deaths,Number,235.0
1999,Federation of BiH,M,Number of infant deaths,Number,174.0
2000,Federation of BiH,M,Number of infant deaths,Number,163.0
2001,Federation of BiH,M,Number of infant deaths,Number,118.0
2002,Federation of BiH,M,Number of infant deaths,Number,138.0
2003,Federation of BiH,M,Number of infant deaths,Number,122.0
2004,Federation of BiH,M,Number of infant deaths,Number,107.0
2005,Federation of BiH,M,Number of infant deaths,Number,113.0
2006,Federation of BiH,M,Number of infant deaths,Number,127.0
2007,Federation of BiH,M,Number of infant deaths,Number,114.0
2008,Federation of BiH,M,Number of infant deaths,Number,110.0
2009,Federation of BiH,M,Number of infant deaths,Number,87.0
2010,Federation of BiH,M,Number of infant deaths,Number,105.0
2011,Federation of BiH,M,Number of infant deaths,Number,85.0
2012,Federation of BiH,M,Number of infant deaths,Number,85.0
2013,Federation of BiH,M,Number of infant deaths,Number,88.0
2014,Federation of BiH,M,Number of infant deaths,Number,63.0
2015,Federation of BiH,M,Number of infant deaths,Number,84.0
2016,Federation of BiH,M,Number of infant deaths,Number,87.0
2017,Federation of BiH,M,Number of infant deaths,Number,87.0
2018,Federation of BiH,M,Number of infant deaths,Number,81.0
2019,Federation of BiH,M,Number of infant deaths,Number,89.0
1997,Federation of BiH,F,Number of infant deaths,Number,169.0
1998,Federation of BiH,F,Number of infant deaths,Number,147.0
1999,Federation of BiH,F,Number of infant deaths,Number,138.0
2000,Federation of BiH,F,Number of infant deaths,Number,117.0
2001,Federation of BiH,F,Number of infant deaths,Number,96.0
2002,Federation of BiH,F,Number of infant deaths,Number,107.0
2003,Federation of BiH,F,Number of infant deaths,Number,80.0
2004,Federation of BiH,F,Number of infant deaths,Number,83.0
2005,Federation of BiH,F,Number of infant deaths,Number,81.0
2006,Federation of BiH,F,Number of infant deaths,Number,78.0
2007,Federation of BiH,F,Number of infant deaths,Number,79.0
2008,Federation of BiH,F,Number of infant deaths,Number,84.0
2009,Federation of BiH,F,Number of infant deaths,Number,86.0
2010,Federation of BiH,F,Number of infant deaths,Number,67.0
2011,Federation of BiH,F,Number of infant deaths,Number,56.0
2012,Federation of BiH,F,Number of infant deaths,Number,54.0
2013,Federation of BiH,F,Number of infant deaths,Number,60.0
2014,Federation of BiH,F,Number of infant deaths,Number,64.0
2015,Federation of BiH,F,Number of infant deaths,Number,70.0
2016,Federation of BiH,F,Number of infant deaths,Number,60.0
2017,Federation of BiH,F,Number of infant deaths,Number,75.0
2018,Federation of BiH,F,Number of infant deaths,Number,77.0
2019,Federation of BiH,F,Number of infant deaths,Number,78.0
1996,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,179.0
1997,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,156.0
1998,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,112.0
1999,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,119.0
2000,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,103.0
2001,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,73.0
2002,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,89.0
2003,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,64.0
2004,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,61.0
2005,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,37.0
2006,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,50.0
2007,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,38.0
2008,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,40.0
2009,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,51.0
2010,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,44.0
2011,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,43.0
2012,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,37.0
2013,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,33.0
2014,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,29.0
2015,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,26.0
2016,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,23.0
2017,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,26.0
2018,Republika Srpska,Both sexes,Infant (up to 12 months of age) mortality rate,Number,17.0
