Year,Entitet,Godine,UNIT_MEASURE,Year.1,Value
1997,Federacija BiH,13 - 14,Broj,1997,11
1997,Federacija BiH,15 - 19,Broj,1997,3128
1997,Republika Srpska,13 - 14,Broj,1997,0
1997,Republika Srpska,15 - 19,Broj,1997,0
1997,Brčko Distrikt BiH,13 - 14,Broj,1997,0
1997,Brčko Distrikt BiH,15 - 19,Broj,1997,0
1997,BiH,13 - 14,Broj,1997,11
1997,BiH,15 - 19,Broj,1997,3128
1998,Federacija BiH,13 - 14,Broj,1998,2
1998,Federacija BiH,15 - 19,Broj,1998,2395
1998,Republika Srpska,13 - 14,Broj,1998,0
1998,Republika Srpska,15 - 19,Broj,1998,796
1998,Brčko Distrikt BiH,13 - 14,Broj,1998,0
1998,Brčko Distrikt BiH,15 - 19,Broj,1998,0
1998,BiH,13 - 14,Broj,1998,2
1998,BiH,15 - 19,Broj,1998,3191
1999,Federacija BiH,13 - 14,Broj,1999,0
1999,Federacija BiH,15 - 19,Broj,1999,2073
1999,Republika Srpska,13 - 14,Broj,1999,1
1999,Republika Srpska,15 - 19,Broj,1999,907
1999,Brčko Distrikt BiH,13 - 14,Broj,1999,0
1999,Brčko Distrikt BiH,15 - 19,Broj,1999,0
1999,BiH,13 - 14,Broj,1999,1
1999,BiH,15 - 19,Broj,1999,2980
2000,Federacija BiH,13 - 14,Broj,2000,3
2000,Federacija BiH,15 - 19,Broj,2000,1806
2000,Republika Srpska,13 - 14,Broj,2000,1
2000,Republika Srpska,15 - 19,Broj,2000,722
2000,Brčko Distrikt BiH,13 - 14,Broj,2000,0
2000,Brčko Distrikt BiH,15 - 19,Broj,2000,0
2000,BiH,13 - 14,Broj,2000,4
2000,BiH,15 - 19,Broj,2000,2528
2001,Federacija BiH,13 - 14,Broj,2001,13
2001,Federacija BiH,15 - 19,Broj,2001,1679
2001,Republika Srpska,13 - 14,Broj,2001,2
2001,Republika Srpska,15 - 19,Broj,2001,938
2001,Brčko Distrikt BiH,13 - 14,Broj,2001,0
2001,Brčko Distrikt BiH,15 - 19,Broj,2001,0
2001,BiH,13 - 14,Broj,2001,15
2001,BiH,15 - 19,Broj,2001,2617
2002,Federacija BiH,13 - 14,Broj,2002,10
2002,Federacija BiH,15 - 19,Broj,2002,1561
2002,Republika Srpska,13 - 14,Broj,2002,4
2002,Republika Srpska,15 - 19,Broj,2002,787
2002,Brčko Distrikt BiH,13 - 14,Broj,2002,0
2002,Brčko Distrikt BiH,15 - 19,Broj,2002,0
2002,BiH,13 - 14,Broj,2002,14
2002,BiH,15 - 19,Broj,2002,2348
2003,Federacija BiH,13 - 14,Broj,2003,9
2003,Federacija BiH,15 - 19,Broj,2003,1457
2003,Republika Srpska,13 - 14,Broj,2003,0
2003,Republika Srpska,15 - 19,Broj,2003,688
2003,Brčko Distrikt BiH,13 - 14,Broj,2003,0
2003,Brčko Distrikt BiH,15 - 19,Broj,2003,0
2003,BiH,13 - 14,Broj,2003,9
2003,BiH,15 - 19,Broj,2003,2145
2004,Federacija BiH,13 - 14,Broj,2004,7
2004,Federacija BiH,15 - 19,Broj,2004,1396
2004,Republika Srpska,13 - 14,Broj,2004,4
2004,Republika Srpska,15 - 19,Broj,2004,697
2004,Brčko Distrikt BiH,13 - 14,Broj,2004,1
2004,Brčko Distrikt BiH,15 - 19,Broj,2004,43
2004,BiH,13 - 14,Broj,2004,12
2004,BiH,15 - 19,Broj,2004,2136
2005,Federacija BiH,13 - 14,Broj,2005,2
2005,Federacija BiH,15 - 19,Broj,2005,1296
2005,Republika Srpska,13 - 14,Broj,2005,3
2005,Republika Srpska,15 - 19,Broj,2005,659
2005,Brčko Distrikt BiH,13 - 14,Broj,2005,1
2005,Brčko Distrikt BiH,15 - 19,Broj,2005,52
2005,BiH,13 - 14,Broj,2005,6
2005,BiH,15 - 19,Broj,2005,2007
2006,Federacija BiH,13 - 14,Broj,2006,4
2006,Federacija BiH,15 - 19,Broj,2006,1399
2006,Republika Srpska,13 - 14,Broj,2006,3
2006,Republika Srpska,15 - 19,Broj,2006,586
2006,Brčko Distrikt BiH,13 - 14,Broj,2006,1
2006,Brčko Distrikt BiH,15 - 19,Broj,2006,57
2006,BiH,13 - 14,Broj,2006,8
2006,BiH,15 - 19,Broj,2006,2042
2007,Federacija BiH,13 - 14,Broj,2007,2
2007,Federacija BiH,15 - 19,Broj,2007,1357
2007,Republika Srpska,13 - 14,Broj,2007,3
2007,Republika Srpska,15 - 19,Broj,2007,557
