Year,UNIT_MEASURE,Administrativna oblast,Value
2008,Broj,Federacija BiH,189.5
2009,Broj,Federacija BiH,190.0
2010,Broj,Federacija BiH,157.8
2010,Broj,Republika Srpska,204.9
2011,Broj,Federacija BiH,217.3
2011,Broj,Republika Srpska,218.3
2012,Broj,Federacija BiH,232.3
2012,Broj,Republika Srpska,226.9
2013,Broj,Federacija BiH,235.1
2013,Broj,Republika Srpska,251.7
2014,Broj,Federacija BiH,240.7
2014,Broj,Republika Srpska,237.9
2015,Broj,Federacija BiH,249.3
2015,Broj,Republika Srpska,263.7
2016,Broj,Federacija BiH,254.2
2016,Broj,Republika Srpska,272.1
2017,Broj,Federacija BiH,258.6
2017,Broj,Republika Srpska,290.1
2018,Broj,Federacija BiH,279.6
