Year,UNIT_MEASURE,Value
2003,NUMBER,0.34
2004,NUMBER,0.43
2005,NUMBER,0.47
2006,NUMBER,0.52
2007,NUMBER,0.17
2008,NUMBER,0.3
2009,NUMBER,0.17
2010,NUMBER,0.13
2011,NUMBER,0.86
2012,NUMBER,0.73
2013,NUMBER,0.68
2014,NUMBER,0.64
2015,NUMBER,0.43
2016,NUMBER,0.73
2017,NUMBER,0.32
2018,NUMBER,0.87
2019,NUMBER,0.96
