Year,SEX,UNIT_MEASURE,Value
1971,_T,NO_PER_1000_LIVE_BIRTHS,22.0
1981,_T,NO_PER_1000_LIVE_BIRTHS,17.2
1991,_T,NO_PER_1000_LIVE_BIRTHS,14.9
1996,_T,NO_PER_1000_LIVE_BIRTHS,14.0
1997,_T,NO_PER_1000_LIVE_BIRTHS,12.4
1998,_T,NO_PER_1000_LIVE_BIRTHS,11.0
1999,_T,NO_PER_1000_LIVE_BIRTHS,10.1
2000,_T,NO_PER_1000_LIVE_BIRTHS,9.7
2001,_T,NO_PER_1000_LIVE_BIRTHS,7.6
2002,_T,NO_PER_1000_LIVE_BIRTHS,9.4
2003,_T,NO_PER_1000_LIVE_BIRTHS,7.6
2004,_T,NO_PER_1000_LIVE_BIRTHS,7.2
2005,_T,NO_PER_1000_LIVE_BIRTHS,6.7
2006,_T,NO_PER_1000_LIVE_BIRTHS,7.5
2007,_T,NO_PER_1000_LIVE_BIRTHS,6.8
2008,_T,NO_PER_1000_LIVE_BIRTHS,6.9
2009,_T,NO_PER_1000_LIVE_BIRTHS,6.5
2010,_T,NO_PER_1000_LIVE_BIRTHS,6.4
2011,_T,NO_PER_1000_LIVE_BIRTHS,5.8
2012,_T,NO_PER_1000_LIVE_BIRTHS,5.4
2013,_T,NO_PER_1000_LIVE_BIRTHS,5.9
2014,_T,NO_PER_1000_LIVE_BIRTHS,5.2
2015,_T,NO_PER_1000_LIVE_BIRTHS,6.1
2016,_T,NO_PER_1000_LIVE_BIRTHS,5.9
2017,_T,NO_PER_1000_LIVE_BIRTHS,6.5
2018,_T,NO_PER_1000_LIVE_BIRTHS,6.2
2019,_T,NO_PER_1000_LIVE_BIRTHS,6.7
1996,M,NO_PER_1000_LIVE_BIRTHS,14.8
1997,M,NO_PER_1000_LIVE_BIRTHS,14.6
1998,M,NO_PER_1000_LIVE_BIRTHS,12.9
1999,M,NO_PER_1000_LIVE_BIRTHS,11.2
2000,M,NO_PER_1000_LIVE_BIRTHS,10.8
2001,M,NO_PER_1000_LIVE_BIRTHS,8.2
2002,M,NO_PER_1000_LIVE_BIRTHS,10.4
2003,M,NO_PER_1000_LIVE_BIRTHS,8.4
2004,M,NO_PER_1000_LIVE_BIRTHS,8.3
2005,M,NO_PER_1000_LIVE_BIRTHS,7.5
2006,M,NO_PER_1000_LIVE_BIRTHS,9.0
2007,M,NO_PER_1000_LIVE_BIRTHS,7.5
2008,M,NO_PER_1000_LIVE_BIRTHS,7.4
2009,M,NO_PER_1000_LIVE_BIRTHS,6.4
2010,M,NO_PER_1000_LIVE_BIRTHS,7.2
2011,M,NO_PER_1000_LIVE_BIRTHS,6.7
2012,M,NO_PER_1000_LIVE_BIRTHS,6.6
2013,M,NO_PER_1000_LIVE_BIRTHS,6.9
2014,M,NO_PER_1000_LIVE_BIRTHS,4.7
2015,M,NO_PER_1000_LIVE_BIRTHS,6.1
2016,M,NO_PER_1000_LIVE_BIRTHS,7.1
2017,M,NO_PER_1000_LIVE_BIRTHS,6.7
2018,M,NO_PER_1000_LIVE_BIRTHS,6.0
2019,M,NO_PER_1000_LIVE_BIRTHS,6.9
1996,F,NO_PER_1000_LIVE_BIRTHS,13.2
1997,F,NO_PER_1000_LIVE_BIRTHS,10.0
1998,F,NO_PER_1000_LIVE_BIRTHS,8.9
1999,F,NO_PER_1000_LIVE_BIRTHS,9.1
2000,F,NO_PER_1000_LIVE_BIRTHS,8.5
2001,F,NO_PER_1000_LIVE_BIRTHS,7.0
2002,F,NO_PER_1000_LIVE_BIRTHS,8.3
2003,F,NO_PER_1000_LIVE_BIRTHS,6.7
2004,F,NO_PER_1000_LIVE_BIRTHS,6.0
2005,F,NO_PER_1000_LIVE_BIRTHS,5.9
2006,F,NO_PER_1000_LIVE_BIRTHS,5.9
2007,F,NO_PER_1000_LIVE_BIRTHS,6.1
2008,F,NO_PER_1000_LIVE_BIRTHS,6.3
2009,F,NO_PER_1000_LIVE_BIRTHS,6.5
2010,F,NO_PER_1000_LIVE_BIRTHS,5.6
2011,F,NO_PER_1000_LIVE_BIRTHS,4.8
2012,F,NO_PER_1000_LIVE_BIRTHS,4.2
2013,F,NO_PER_1000_LIVE_BIRTHS,4.8
2014,F,NO_PER_1000_LIVE_BIRTHS,5.6
2015,F,NO_PER_1000_LIVE_BIRTHS,6.1
2016,F,NO_PER_1000_LIVE_BIRTHS,4.6
2017,F,NO_PER_1000_LIVE_BIRTHS,6.3
2018,F,NO_PER_1000_LIVE_BIRTHS,6.5
2019,F,NO_PER_1000_LIVE_BIRTHS,6.5
