Year,UNIT_MEASURE,Value
2005,NUMBER,351.0
2006,NUMBER,331.0
2007,NUMBER,918.0
2008,NUMBER,852.0
2010,NUMBER,876.0
2011,NUMBER,852.0
2012,NUMBER,488.0
2013,NUMBER,307.0
2014,NUMBER,208.0
2015,NUMBER,538.0
2016,NUMBER,1023.0
2017,NUMBER,556.0
