Year,Entity,SEX,INFANT_MORTALITY,UNIT_MEASURE,Value
2012,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,25.0
2013,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,21.0
2014,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,11.0
2015,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,9.0
2016,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,17.0
2017,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,13.0
2018,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.0
2019,RS,M,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,7.0
1996,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,80.0
1997,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,63.0
1998,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,45.0
1999,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,51.0
2000,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,46.0
2001,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,32.0
2002,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,36.0
2003,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,32.0
2004,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,18.0
2005,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,17.0
2006,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,19.0
2007,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,20.0
2008,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,20.0
2009,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,22.0
2010,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,24.0
2011,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,17.0
2012,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,12.0
2013,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,12.0
2014,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,18.0
2015,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,17.0
2016,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,6.0
2017,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,13.0
2018,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,10.0
2019,RS,F,infant_(up_to_12_months_of_age)_mortality_rate,NUMBER,8.0
