Year,UNIT_MEASURE,Value
2005,NUMBER,421
2006,NUMBER,409
2007,NUMBER,797
2008,NUMBER,1235
2009,NUMBER,1226
2010,NUMBER,1226
2011,NUMBER,1224
2012,NUMBER,1244
2013,NUMBER,1132
2014,NUMBER,1116
2015,NUMBER,1088
2016,NUMBER,1075
2017,NUMBER,1050
2018,NUMBER,1063
2019,NUMBER,701
