Year,UNIT_MEASURE,ADMIN_AREA,Value
1971,Age,BiH,22.2
1981,Age,BiH,23.0
2004,Age,BiH,24.34
2005,Age,BiH,24.41
2006,Age,BiH,24.51
2007,Age,BiH,24.76
2008,Age,BiH,24.94
2009,Age,BiH,25.25
2010,Age,BiH,25.87
2011,Age,BiH,26.25
2012,Age,BiH,26.45
2013,Age,BiH,26.69
2014,Age,BiH,26.97
2015,Age,BiH,27.17
2016,Age,BiH,26.96
2017,Age,BiH,27.28
2018,Age,BiH,27.4
2019,Age,BiH,27.68
1996,Age,FBIH,23.6
1997,Age,FBIH,23.5
1998,Age,FBIH,23.9
1999,Age,FBIH,24.2
2000,Age,FBIH,24.2
2001,Age,FBIH,24.2
2002,Age,FBIH,24.2
2003,Age,FBIH,24.3
2004,Age,FBIH,24.5
2005,Age,FBIH,24.5
2006,Age,FBIH,24.6
2007,Age,FBIH,24.8
2008,Age,FBIH,24.9
2009,Age,FBIH,25.1
2010,Age,FBIH,25.4
2011,Age,FBIH,25.6
2012,Age,FBIH,25.7
2013,Age,FBIH,26.05
2014,Age,FBIH,26.2
2015,Age,FBIH,26.4
2016,Age,FBIH,26.3
2017,Age,FBIH,26.7
2018,Age,FBIH,26.7
2019,Age,FBIH,26.8
1998,Age,RS,23.8
1999,Age,RS,24.4
2000,Age,RS,24.6
2001,Age,RS,24.2
2002,Age,RS,24.6
2003,Age,RS,23.7
2004,Age,RS,24.6
2005,Age,RS,24.9
2006,Age,RS,25.0
2007,Age,RS,25.0
2008,Age,RS,25.4
2009,Age,RS,25.6
2010,Age,RS,25.9
2011,Age,RS,26.3
2012,Age,RS,26.4
2013,Age,RS,26.75
2014,Age,RS,26.9
2015,Age,RS,27.2
2016,Age,RS,26.9
2017,Age,RS,27.3
2018,Age,RS,27.6
2019,Age,RS,27.8
2008,Age,BD,25.08
2009,Age,BD,25.49
2010,Age,BD,25.79
2012,Age,BD,26.71
2013,Age,BD,26.55
2014,Age,BD,26.15
2015,Age,BD,27.01
2017,Age,BD,27.48
2018,Age,BD,27.63
2019,Age,BD,27.5
