Year,UNIT_MEASURE,Entity,Value
1999,NUMBER,RS,147.0
2000,NUMBER,RS,143.0
2001,NUMBER,RS,145.0
2002,NUMBER,RS,150.0
2003,NUMBER,RS,151.0
2004,NUMBER,RS,154.0
2005,NUMBER,FBiH,158.0
2005,NUMBER,RS,128.39
2006,NUMBER,FBiH,162.02
2006,NUMBER,RS,132.78
2007,NUMBER,FBiH,170.89
2007,NUMBER,RS,138.09
2008,NUMBER,FBiH,176.91
2008,NUMBER,RS,142.47
2009,NUMBER,FBiH,183.39
2009,NUMBER,RS,146.39
2010,NUMBER,FBiH,186.3
2010,NUMBER,RS,152.47
2011,NUMBER,FBiH,190.01
2011,NUMBER,RS,159.9
2012,NUMBER,FBiH,193.26
2012,NUMBER,RS,164.77
2013,NUMBER,FBiH,197.89
2013,NUMBER,RS,171.37
2014,NUMBER,FBiH,205.46
2014,NUMBER,RS,173.85
2015,NUMBER,FBiH,204.08
2015,NUMBER,RS,214.34
2016,NUMBER,FBiH,215.53
2016,NUMBER,RS,218.57
2017,NUMBER,FBiH,218.52
2017,NUMBER,RS,218.56
2018,NUMBER,FBiH,224.11
2018,NUMBER,RS,225.45
2019,NUMBER,FBiH,232.5
2018,NUMBER,BD,171.8
