Year,UNIT_MEASURE,AGRICULTURAL_ACTIVITY,Value
2013,NUMBER,Performing_agricultural_activity,363394
2013,NUMBER,Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,56609
