Year,UNIT_MEASURE,SEX,AGE,Value
1971,NUMBER,_T,0,78188
1971,NUMBER,_T,1,78436
1971,NUMBER,_T,2,79185
1971,NUMBER,_T,3,83244
1971,NUMBER,_T,4,86452
1971,NUMBER,_T,5,87769
1971,NUMBER,_T,6,87799
1971,NUMBER,_T,7,88629
1971,NUMBER,_T,8,88698
1971,NUMBER,_T,9,89770
1971,NUMBER,_T,10,91769
1971,NUMBER,_T,11,88438
1971,NUMBER,_T,12,91254
1971,NUMBER,_T,13,84816
1971,NUMBER,_T,14,85922
1971,NUMBER,_T,15,85979
1971,NUMBER,_T,16,90521
1971,NUMBER,_T,17,81829
1971,NUMBER,_T,18,86722
1971,NUMBER,_T,19,66336
1971,NUMBER,_T,20,72810
1971,NUMBER,_T,21,69228
1971,NUMBER,_T,22,61911
1971,NUMBER,_T,23,57263
1971,NUMBER,_T,24,58105
1971,NUMBER,_T,25,43515
1971,NUMBER,_T,26,42568
1971,NUMBER,_T,27,42705
1971,NUMBER,_T,28,45326
1971,NUMBER,_T,29,51613
1971,NUMBER,_T,30,55927
1971,NUMBER,_T,31,58757
1971,NUMBER,_T,32,56737
1971,NUMBER,_T,33,59159
1971,NUMBER,_T,34,59230
1971,NUMBER,_T,35,59449
1971,NUMBER,_T,36,58439
1971,NUMBER,_T,37,57138
1971,NUMBER,_T,38,54962
1971,NUMBER,_T,39,50494
1971,NUMBER,_T,40,53335
1971,NUMBER,_T,41,51482
1971,NUMBER,_T,42,51670
1971,NUMBER,_T,43,45131
1971,NUMBER,_T,44,41398
1971,NUMBER,_T,45,38430
1971,NUMBER,_T,46,34889
1971,NUMBER,_T,47,32616
1971,NUMBER,_T,48,32560
1971,NUMBER,_T,49,27746
1971,NUMBER,_T,50,31304
1971,NUMBER,_T,51,27640
1971,NUMBER,_T,52,16290
1971,NUMBER,_T,53,13739
1971,NUMBER,_T,54,12867
1971,NUMBER,_T,55,17033
1971,NUMBER,_T,56,26007
1971,NUMBER,_T,57,23600
1971,NUMBER,_T,58,25741
1971,NUMBER,_T,59,22248
1971,NUMBER,_T,60,27390
1971,NUMBER,_T,61,23213
1971,NUMBER,_T,62,20179
1971,NUMBER,_T,63,21543
1971,NUMBER,_T,64,20402
1971,NUMBER,_T,65,19860
1971,NUMBER,_T,66,17912
1971,NUMBER,_T,67,15368
1971,NUMBER,_T,68,14263
1971,NUMBER,_T,69,12405
1971,NUMBER,_T,70,20948
1971,NUMBER,_T,71,11331
1971,NUMBER,_T,72,7947
1971,NUMBER,_T,73,6982
1971,NUMBER,_T,74,6341
1971,NUMBER,_T,75,6359
1971,NUMBER,_T,76,5014
1971,NUMBER,_T,77,4151
1971,NUMBER,_T,78,4413
1971,NUMBER,_T,79,3113
1971,NUMBER,_T,80,3754
1971,NUMBER,_T,81,2432
1971,NUMBER,_T,82,2709
1971,NUMBER,_T,83,1765
1971,NUMBER,_T,84,1492
1971,NUMBER,_T,85,1675
1971,NUMBER,_T,86,1205
1971,NUMBER,_T,87,808
1971,NUMBER,_T,88,784
1971,NUMBER,_T,89,640
1971,NUMBER,_T,90,823
1971,NUMBER,_T,91,417
1971,NUMBER,_T,92,287
1971,NUMBER,_T,93,196
1971,NUMBER,_T,94,215
1971,NUMBER,_T,95,249
1971,NUMBER,_T,96,153
1971,NUMBER,_T,97,132
1971,NUMBER,_T,98,105
1971,NUMBER,_T,99,33
1971,NUMBER,_T,100,62
1971,NUMBER,_T,101,0
1971,NUMBER,_T,102,0
1971,NUMBER,_T,103,0
1971,NUMBER,_T,104,0
1971,NUMBER,_T,105,0
1971,NUMBER,_T,106,0
1971,NUMBER,_T,107,0
1971,NUMBER,_T,108,0
1971,NUMBER,_T,109,0
1971,NUMBER,_T,110,0
1971,NUMBER,_T,111,0
1971,NUMBER,_T,112,0
1971,NUMBER,_T,113,0
1971,NUMBER,_T,114,0
1971,NUMBER,_T,115,0
1971,NUMBER,_T,116,0
1971,NUMBER,_T,117,0
1971,NUMBER,_T,118,0
1971,NUMBER,_T,119,0
1971,NUMBER,_T,120,0
1971,NUMBER,_T,Unknown,14223
1971,NUMBER,_T,Total,3746111
1981,NUMBER,_T,0,71881
1981,NUMBER,_T,1,69965
1981,NUMBER,_T,2,67249
1981,NUMBER,_T,3,68657
1981,NUMBER,_T,4,70968
1981,NUMBER,_T,5,71951
1981,NUMBER,_T,6,71141
1981,NUMBER,_T,7,71151
1981,NUMBER,_T,8,73640
1981,NUMBER,_T,9,74972
1981,NUMBER,_T,10,72003
1981,NUMBER,_T,11,74982
1981,NUMBER,_T,12,77107
1981,NUMBER,_T,13,80150
1981,NUMBER,_T,14,83627
1981,NUMBER,_T,15,85479
1981,NUMBER,_T,16,84935
1981,NUMBER,_T,17,85902
1981,NUMBER,_T,18,85978
1981,NUMBER,_T,19,86377
1981,NUMBER,_T,20,86257
1981,NUMBER,_T,21,80015
1981,NUMBER,_T,22,80476
1981,NUMBER,_T,23,73088
1981,NUMBER,_T,24,72440
1981,NUMBER,_T,25,70240
1981,NUMBER,_T,26,73331
1981,NUMBER,_T,27,65100
1981,NUMBER,_T,28,69395
1981,NUMBER,_T,29,52038
1981,NUMBER,_T,30,57265
1981,NUMBER,_T,31,55625
1981,NUMBER,_T,32,50152
1981,NUMBER,_T,33,46632
1981,NUMBER,_T,34,49504
1981,NUMBER,_T,35,36693
1981,NUMBER,_T,36,36263
1981,NUMBER,_T,37,37126
1981,NUMBER,_T,38,39913
1981,NUMBER,_T,39,45793
1981,NUMBER,_T,40,49958
1981,NUMBER,_T,41,52693
1981,NUMBER,_T,42,50845
1981,NUMBER,_T,43,53135
1981,NUMBER,_T,44,53909
1981,NUMBER,_T,45,53870
1981,NUMBER,_T,46,53207
1981,NUMBER,_T,47,51809
1981,NUMBER,_T,48,50023
1981,NUMBER,_T,49,46034
1981,NUMBER,_T,50,48966
1981,NUMBER,_T,51,46995
1981,NUMBER,_T,52,47799
1981,NUMBER,_T,53,42166
1981,NUMBER,_T,54,38248
1981,NUMBER,_T,55,35727
1981,NUMBER,_T,56,32192
1981,NUMBER,_T,57,29910
