Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,F,Total,Sarajevo - Hadžići,11977
2013,NUMBER,_T,Total,Han Pijesak,3530
2013,NUMBER,M,Total,Han Pijesak,1667
2013,NUMBER,F,Total,Han Pijesak,1863
2013,NUMBER,_T,Total,Sarajevo - Ilidža,66730
2013,NUMBER,M,Total,Sarajevo - Ilidža,32359
2013,NUMBER,F,Total,Sarajevo - Ilidža,34371
2013,NUMBER,_T,Total,Sarajevo - Ilijaš,19603
2013,NUMBER,M,Total,Sarajevo - Ilijaš,9381
2013,NUMBER,F,Total,Sarajevo - Ilijaš,10222
2013,NUMBER,_T,Total,Istočna Ilidža,14763
2013,NUMBER,M,Total,Istočna Ilidža,7069
2013,NUMBER,F,Total,Istočna Ilidža,7694
2013,NUMBER,_T,Total,Istočni Drvar,79
2013,NUMBER,M,Total,Istočni Drvar,53
2013,NUMBER,F,Total,Istočni Drvar,26
2013,NUMBER,_T,Total,Istočni Mostar,257
2013,NUMBER,M,Total,Istočni Mostar,142
2013,NUMBER,F,Total,Istočni Mostar,115
2013,NUMBER,_T,Total,Istočni Stari Grad,1131
2013,NUMBER,M,Total,Istočni Stari Grad,560
2013,NUMBER,F,Total,Istočni Stari Grad,571
2013,NUMBER,_T,Total,Istočno Novo Sarajevo,10642
2013,NUMBER,M,Total,Istočno Novo Sarajevo,5058
2013,NUMBER,F,Total,Istočno Novo Sarajevo,5584
2013,NUMBER,_T,Total,Jablanica,10111
2013,NUMBER,M,Total,Jablanica,5027
2013,NUMBER,F,Total,Jablanica,5084
2013,NUMBER,_T,Total,Jajce,27258
2013,NUMBER,M,Total,Jajce,13856
2013,NUMBER,F,Total,Jajce,13402
2013,NUMBER,_T,Total,Jezero,1144
2013,NUMBER,M,Total,Jezero,601
2013,NUMBER,F,Total,Jezero,543
2013,NUMBER,_T,Total,Kakanj,37441
2013,NUMBER,M,Total,Kakanj,18651
2013,NUMBER,F,Total,Kakanj,18790
2013,NUMBER,_T,Total,Kalesija,33053
2013,NUMBER,M,Total,Kalesija,16597
2013,NUMBER,F,Total,Kalesija,16456
2013,NUMBER,_T,Total,Kalinovik,2029
2013,NUMBER,M,Total,Kalinovik,987
2013,NUMBER,F,Total,Kalinovik,1042
2013,NUMBER,_T,Total,Kiseljak,20722
2013,NUMBER,M,Total,Kiseljak,10285
2013,NUMBER,F,Total,Kiseljak,10437
2013,NUMBER,_T,Total,Kladanj,12348
2013,NUMBER,M,Total,Kladanj,6108
2013,NUMBER,F,Total,Kladanj,6240
2013,NUMBER,_T,Total,Ključ,16744
2013,NUMBER,M,Total,Ključ,8365
2013,NUMBER,F,Total,Ključ,8379
2013,NUMBER,_T,Total,Kneževo,9793
2013,NUMBER,M,Total,Kneževo,4892
2013,NUMBER,F,Total,Kneževo,4901
2013,NUMBER,_T,Total,Konjic,25148
2013,NUMBER,M,Total,Konjic,12360
2013,NUMBER,F,Total,Konjic,12788
2013,NUMBER,_T,Total,Kostajnica,5977
2013,NUMBER,M,Total,Kostajnica,2967
2013,NUMBER,F,Total,Kostajnica,3010
2013,NUMBER,_T,Total,Kotor Varoš,19710
2013,NUMBER,M,Total,Kotor Varoš,9818
2013,NUMBER,F,Total,Kotor Varoš,9892
2013,NUMBER,_T,Total,Kozarska Dubica,21524
2013,NUMBER,M,Total,Kozarska Dubica,10516
2013,NUMBER,F,Total,Kozarska Dubica,11008
2013,NUMBER,_T,Total,Kreševo,5273
2013,NUMBER,M,Total,Kreševo,2597
2013,NUMBER,F,Total,Kreševo,2676
2013,NUMBER,_T,Total,Krupa Na Uni,1597
2013,NUMBER,M,Total,Krupa Na Uni,862
2013,NUMBER,F,Total,Krupa Na Uni,735
2013,NUMBER,_T,Total,Kupres - FBiH,5057
2013,NUMBER,M,Total,Kupres - FBiH,2541
2013,NUMBER,F,Total,Kupres - FBiH,2516
2013,NUMBER,_T,Total,Kupres - RS,300
2013,NUMBER,M,Total,Kupres - RS,160
2013,NUMBER,F,Total,Kupres - RS,140
2013,NUMBER,_T,Total,Laktaši,34966
2013,NUMBER,M,Total,Laktaši,17320
2013,NUMBER,F,Total,Laktaši,17646
2013,NUMBER,_T,Total,Livno,34133
2013,NUMBER,M,Total,Livno,17024
2013,NUMBER,F,Total,Livno,17109
2013,NUMBER,_T,Total,Lopare,15357
2013,NUMBER,M,Total,Lopare,7749
2013,NUMBER,F,Total,Lopare,7608
2013,NUMBER,_T,Total,Lukavac,44520
2013,NUMBER,M,Total,Lukavac,21786
2013,NUMBER,F,Total,Lukavac,22734
2013,NUMBER,_T,Total,Ljubinje,3511
2013,NUMBER,M,Total,Ljubinje,1725
2013,NUMBER,F,Total,Ljubinje,1786
2013,NUMBER,_T,Total,Ljubuški,28184
2013,NUMBER,M,Total,Ljubuški,14022
2013,NUMBER,F,Total,Ljubuški,14162
2013,NUMBER,_T,Total,Maglaj,23146
2013,NUMBER,M,Total,Maglaj,11430
2013,NUMBER,F,Total,Maglaj,11716
2013,NUMBER,_T,Total,Milići,11441
2013,NUMBER,M,Total,Milići,5798
2013,NUMBER,F,Total,Milići,5643
2013,NUMBER,_T,Total,Modriča,25720
2013,NUMBER,M,Total,Modriča,12561
2013,NUMBER,F,Total,Modriča,13159
2013,NUMBER,_T,Total,Mostar,105797
2013,NUMBER,M,Total,Mostar,51210
2013,NUMBER,F,Total,Mostar,54587
2013,NUMBER,_T,Total,Mrkonjić Grad,16671
2013,NUMBER,M,Total,Mrkonjić Grad,8096
2013,NUMBER,F,Total,Mrkonjić Grad,8575
2013,NUMBER,_T,Total,Neum,4653
2013,NUMBER,M,Total,Neum,2344
2013,NUMBER,F,Total,Neum,2309
2013,NUMBER,_T,Total,Nevesinje,12961
2013,NUMBER,M,Total,Nevesinje,6462
2013,NUMBER,F,Total,Nevesinje,6499
2013,NUMBER,_T,Total,Novi Grad,27115
2013,NUMBER,M,Total,Novi Grad,13594
2013,NUMBER,F,Total,Novi Grad,13521
2013,NUMBER,_T,Total,Sarajevo - Novi Grad,118553
2013,NUMBER,M,Total,Sarajevo - Novi Grad,55735
2013,NUMBER,F,Total,Sarajevo - Novi Grad,62818
2013,NUMBER,_T,Total,Novi Travnik,23832
2013,NUMBER,M,Total,Novi Travnik,11862
2013,NUMBER,F,Total,Novi Travnik,11970
2013,NUMBER,_T,Total,Novo Goražde,3117
2013,NUMBER,M,Total,Novo Goražde,1618
2013,NUMBER,F,Total,Novo Goražde,1499
2013,NUMBER,_T,Total,Sarajevo - Novo Sarajevo,64814
2013,NUMBER,M,Total,Sarajevo - Novo Sarajevo,29580
2013,NUMBER,F,Total,Sarajevo - Novo Sarajevo,35234
2013,NUMBER,_T,Total,Odžak,18821
2013,NUMBER,M,Total,Odžak,9373
2013,NUMBER,F,Total,Odžak,9448
2013,NUMBER,_T,Total,Olovo,10175
2013,NUMBER,M,Total,Olovo,5084
2013,NUMBER,F,Total,Olovo,5091
2013,NUMBER,_T,Total,Orašje,19861
2013,NUMBER,M,Total,Orašje,10059
