Year,UNIT_MEASURE,Entity,Value
1965,NUMBER,BiH,107.6136288
1970,NUMBER,BiH,106.9976959
1975,NUMBER,BiH,106.9078767
1980,NUMBER,BiH,106.8061787
1988,NUMBER,BiH,107.9001529
1989,NUMBER,BiH,105.3955176
1990,NUMBER,BiH,106.5590967
1991,NUMBER,BiH,105.6124694
1996,NUMBER,BiH,109.9207064
1997,NUMBER,BiH,109.5108225
1998,NUMBER,BiH,108.5395237
1999,NUMBER,BiH,103.8793931
2000,NUMBER,BiH,106.5305909
2001,NUMBER,BiH,105.9125403
2002,NUMBER,BiH,105.8241758
2003,NUMBER,BiH,108.4358732
2004,NUMBER,BiH,106.5518862
2005,NUMBER,BiH,105.7456922
2006,NUMBER,BiH,106.4357637
2007,NUMBER,BiH,107.5639531
2008,NUMBER,BiH,105.9912
2009,NUMBER,BiH,108.773944
2010,NUMBER,BiH,106.3134576
2011,NUMBER,BiH,108.1871728
2012,NUMBER,BiH,106.5558165
2013,NUMBER,BiH,106.6401778
2014,NUMBER,BiH,106.3117715
2015,NUMBER,BiH,105.8498133
2016,NUMBER,BiH,108.6334416
2017,NUMBER,BiH,107.9030704
2018,NUMBER,BiH,107.5286992
2019,NUMBER,BiH,109.2371256
1997,NUMBER,FBIH,109.9002631
1998,NUMBER,FBIH,107.9809725
1999,NUMBER,FBIH,103.7895351
2000,NUMBER,FBIH,106.5450993
2001,NUMBER,FBIH,105.7921344
2002,NUMBER,FBIH,105.4156728
2003,NUMBER,FBIH,109.0031574
2004,NUMBER,FBIH,106.5156859
2005,NUMBER,FBIH,106.0110829
2006,NUMBER,FBIH,107.8114478
2007,NUMBER,FBIH,108.3573211
2008,NUMBER,FBIH,104.8257373
2009,NUMBER,FBIH,107.6017034
2010,NUMBER,FBIH,106.8385547
2011,NUMBER,FBIH,107.8323869
2012,NUMBER,FBIH,108.1023454
2013,NUMBER,FBIH,106.5306541
2014,NUMBER,FBIH,105.0541516
2015,NUMBER,FBIH,104.3276335
2016,NUMBER,FBIH,108.187692
2017,NUMBER,FBIH,106.9959277
2018,NUMBER,FBIH,106.3885552
2019,NUMBER,FBIH,107.6639391
1996,NUMBER,RS,108.0237489
1997,NUMBER,RS,109.0411792
1998,NUMBER,RS,109.8510704
1999,NUMBER,RS,104.052913
2000,NUMBER,RS,106.5046566
2001,NUMBER,RS,106.1239844
2002,NUMBER,RS,106.5985597
2003,NUMBER,RS,107.1358364
2004,NUMBER,RS,107.8623118
2005,NUMBER,RS,105.6175299
2006,NUMBER,RS,103.4409434
2007,NUMBER,RS,106.0321989
2008,NUMBER,RS,106.6045381
2009,NUMBER,RS,110.9629924
2010,NUMBER,RS,104.4529518
2011,NUMBER,RS,109.9934109
2012,NUMBER,RS,104.0908161
2013,NUMBER,RS,106.6043884
2014,NUMBER,RS,107.9527734
2015,NUMBER,RS,107.2425249
2016,NUMBER,RS,109.0687901
2017,NUMBER,RS,109.7237817
2018,NUMBER,RS,109.502956
2019,NUMBER,RS,112.3654683
2002,NUMBER,BD,129.6675192
2003,NUMBER,BD,103.0864198
2004,NUMBER,BD,91.06796117
2005,NUMBER,BD,107.4309979
2006,NUMBER,BD,111.1111111
2007,NUMBER,BD,106.779661
2008,NUMBER,BD,129.6954315
2009,NUMBER,BD,113.5011442
2010,NUMBER,BD,114.0186916
2011,NUMBER,BD,98.03063457
2012,NUMBER,BD,99.58592133
2013,NUMBER,BD,113.3333333
2014,NUMBER,BD,118.8095238
2015,NUMBER,BD,122.9665072
2016,NUMBER,BD,116.2561576
2017,NUMBER,BD,110.7981221
2018,NUMBER,BD,108.4745763
2019,NUMBER,BD,102.9345372
