Year,UNIT_MEASURE,SEX,AGE,ADMIN_AREA,Value
2013,NUMBER,_T,83,FBIH,6095
2013,NUMBER,_T,84,FBIH,4812
2013,NUMBER,_T,85+,FBIH,15692
2013,NUMBER,_T,Unknown,FBIH,0
2013,NUMBER,_T,Total,FBIH,2219220
2013,NUMBER,M,0,FBIH,11137
2013,NUMBER,M,1,FBIH,11702
2013,NUMBER,M,2,FBIH,11635
2013,NUMBER,M,3,FBIH,12190
2013,NUMBER,M,4,FBIH,12353
2013,NUMBER,M,5,FBIH,12274
2013,NUMBER,M,6,FBIH,11829
2013,NUMBER,M,7,FBIH,11750
2013,NUMBER,M,8,FBIH,11870
2013,NUMBER,M,9,FBIH,11910
2013,NUMBER,M,10,FBIH,12366
2013,NUMBER,M,11,FBIH,12362
2013,NUMBER,M,12,FBIH,12787
2013,NUMBER,M,13,FBIH,13148
2013,NUMBER,M,14,FBIH,13830
2013,NUMBER,M,15,FBIH,15585
2013,NUMBER,M,16,FBIH,18159
2013,NUMBER,M,17,FBIH,18218
2013,NUMBER,M,18,FBIH,17312
2013,NUMBER,M,19,FBIH,14024
2013,NUMBER,M,20,FBIH,13053
2013,NUMBER,M,21,FBIH,14849
2013,NUMBER,M,22,FBIH,16459
2013,NUMBER,M,23,FBIH,16474
2013,NUMBER,M,24,FBIH,16268
2013,NUMBER,M,25,FBIH,16801
2013,NUMBER,M,26,FBIH,16894
2013,NUMBER,M,27,FBIH,16638
2013,NUMBER,M,28,FBIH,16721
2013,NUMBER,M,29,FBIH,17065
2013,NUMBER,M,30,FBIH,16504
2013,NUMBER,M,31,FBIH,16570
2013,NUMBER,M,32,FBIH,16694
2013,NUMBER,M,33,FBIH,16163
2013,NUMBER,M,34,FBIH,16001
2013,NUMBER,M,35,FBIH,15902
2013,NUMBER,M,36,FBIH,15826
2013,NUMBER,M,37,FBIH,16187
2013,NUMBER,M,38,FBIH,15675
2013,NUMBER,M,39,FBIH,15349
2013,NUMBER,M,40,FBIH,15127
2013,NUMBER,M,41,FBIH,15825
2013,NUMBER,M,42,FBIH,15475
2013,NUMBER,M,43,FBIH,14747
2013,NUMBER,M,44,FBIH,15948
2013,NUMBER,M,45,FBIH,15855
2013,NUMBER,M,46,FBIH,16405
2013,NUMBER,M,47,FBIH,16673
2013,NUMBER,M,48,FBIH,16805
2013,NUMBER,M,49,FBIH,16856
2013,NUMBER,M,50,FBIH,16932
2013,NUMBER,M,51,FBIH,17349
2013,NUMBER,M,52,FBIH,17203
2013,NUMBER,M,53,FBIH,16748
2013,NUMBER,M,54,FBIH,17071
2013,NUMBER,M,55,FBIH,15630
2013,NUMBER,M,56,FBIH,15129
2013,NUMBER,M,57,FBIH,15231
2013,NUMBER,M,58,FBIH,15090
2013,NUMBER,M,59,FBIH,14488
2013,NUMBER,M,60,FBIH,14056
2013,NUMBER,M,61,FBIH,12507
2013,NUMBER,M,62,FBIH,11394
2013,NUMBER,M,63,FBIH,11285
2013,NUMBER,M,64,FBIH,10657
2013,NUMBER,M,65,FBIH,9092
2013,NUMBER,M,66,FBIH,9797
2013,NUMBER,M,67,FBIH,7429
2013,NUMBER,M,68,FBIH,6681
2013,NUMBER,M,69,FBIH,6439
2013,NUMBER,M,70,FBIH,6237
2013,NUMBER,M,71,FBIH,6969
2013,NUMBER,M,72,FBIH,7080
2013,NUMBER,M,73,FBIH,7467
2013,NUMBER,M,74,FBIH,6692
2013,NUMBER,M,75,FBIH,6253
2013,NUMBER,M,76,FBIH,5904
2013,NUMBER,M,77,FBIH,5463
2013,NUMBER,M,78,FBIH,4769
2013,NUMBER,M,79,FBIH,4306
2013,NUMBER,M,80,FBIH,3486
2013,NUMBER,M,81,FBIH,3255
2013,NUMBER,M,82,FBIH,2677
2013,NUMBER,M,83,FBIH,2263
2013,NUMBER,M,84,FBIH,1812
2013,NUMBER,M,85+,FBIH,4902
2013,NUMBER,M,Unknown,FBIH,0
2013,NUMBER,M,Total,FBIH,1087993
2013,NUMBER,F,0,FBIH,10581
2013,NUMBER,F,1,FBIH,10988
2013,NUMBER,F,2,FBIH,11056
2013,NUMBER,F,3,FBIH,11474
2013,NUMBER,F,4,FBIH,11727
2013,NUMBER,F,5,FBIH,11618
2013,NUMBER,F,6,FBIH,11072
2013,NUMBER,F,7,FBIH,11215
2013,NUMBER,F,8,FBIH,11277
2013,NUMBER,F,9,FBIH,11237
2013,NUMBER,F,10,FBIH,11518
2013,NUMBER,F,11,FBIH,11681
2013,NUMBER,F,12,FBIH,12202
2013,NUMBER,F,13,FBIH,12637
2013,NUMBER,F,14,FBIH,13522
2013,NUMBER,F,15,FBIH,14879
2013,NUMBER,F,16,FBIH,16932
2013,NUMBER,F,17,FBIH,17068
2013,NUMBER,F,18,FBIH,16591
2013,NUMBER,F,19,FBIH,13113
2013,NUMBER,F,20,FBIH,12272
2013,NUMBER,F,21,FBIH,14751
2013,NUMBER,F,22,FBIH,15660
2013,NUMBER,F,23,FBIH,15516
2013,NUMBER,F,24,FBIH,15600
2013,NUMBER,F,25,FBIH,16118
2013,NUMBER,F,26,FBIH,15645
2013,NUMBER,F,27,FBIH,15846
2013,NUMBER,F,28,FBIH,15889
2013,NUMBER,F,29,FBIH,16586
2013,NUMBER,F,30,FBIH,15886
2013,NUMBER,F,31,FBIH,15749
2013,NUMBER,F,32,FBIH,16055
2013,NUMBER,F,33,FBIH,15811
2013,NUMBER,F,34,FBIH,15555
2013,NUMBER,F,35,FBIH,15626
2013,NUMBER,F,36,FBIH,15712
2013,NUMBER,F,37,FBIH,16154
2013,NUMBER,F,38,FBIH,15646
2013,NUMBER,F,39,FBIH,15638
2013,NUMBER,F,40,FBIH,15457
