Year,UNIT_MEASURE,Value
2020,crude_death_rate_1000,10.9
2025,crude_death_rate_1000,11.9
2030,crude_death_rate_1000,13.0
2035,crude_death_rate_1000,14.4
2040,crude_death_rate_1000,15.9
2045,crude_death_rate_1000,17.4
2050,crude_death_rate_1000,18.6
2055,crude_death_rate_1000,19.7
2060,crude_death_rate_1000,20.5
2065,crude_death_rate_1000,21.3
2070,crude_death_rate_1000,22.0
