Year,UNIT_MEASURE,Entity,Value
1971,NUMBER,BiH,88.2
1981,NUMBER,BiH,93.3
1991,NUMBER,BiH,56.3
1997,NUMBER,BiH,79.0
1998,NUMBER,BiH,87.7
1999,NUMBER,BiH,88.8
2000,NUMBER,BiH,88.1
2001,NUMBER,BiH,104.7
2002,NUMBER,BiH,112.9
2003,NUMBER,BiH,92.5
2004,NUMBER,BiH,68.4
2005,NUMBER,BiH,81.3
2006,NUMBER,BiH,77.2
2007,NUMBER,BiH,77.7
2008,NUMBER,BiH,61.8
2009,NUMBER,BiH,68.0
2010,NUMBER,BiH,85.8
2011,NUMBER,BiH,120.5
2012,NUMBER,BiH,125.8
2013,NUMBER,BiH,148.1
2014,NUMBER,BiH,144.1
2015,NUMBER,BiH,150.5
2016,NUMBER,BiH,143.9
2017,NUMBER,BiH,151.3
2018,NUMBER,BiH,155.2
2019,NUMBER,BiH,147.2
1996,NUMBER,FBIH,25.7
1997,NUMBER,FBIH,68.4
1998,NUMBER,FBIH,77.9
1999,NUMBER,FBIH,84.1
2000,NUMBER,FBIH,84.9
2001,NUMBER,FBIH,100.8
2002,NUMBER,FBIH,110.5
2003,NUMBER,FBIH,89.6
2004,NUMBER,FBIH,62.6
2005,NUMBER,FBIH,70.9
2006,NUMBER,FBIH,71.7
2007,NUMBER,FBIH,69.6
2008,NUMBER,FBIH,62.9
2009,NUMBER,FBIH,58.9
2010,NUMBER,FBIH,76.5
2011,NUMBER,FBIH,97.0
2012,NUMBER,FBIH,97.5
2013,NUMBER,FBIH,119.8
2014,NUMBER,FBIH,110.2
2015,NUMBER,FBIH,115.8
2016,NUMBER,FBIH,113.0
2017,NUMBER,FBIH,132.8
2018,NUMBER,FBIH,139.6
2019,NUMBER,FBIH,136.4
1997,NUMBER,RS,95.1
1998,NUMBER,RS,102.1
1999,NUMBER,RS,93.5
2000,NUMBER,RS,92.6
2001,NUMBER,RS,115.6
2002,NUMBER,RS,117.2
2003,NUMBER,RS,109.9
2004,NUMBER,RS,89.2
2005,NUMBER,RS,105.9
2006,NUMBER,RS,76.7
2007,NUMBER,RS,84.0
2008,NUMBER,RS,49.5
2009,NUMBER,RS,74.2
2010,NUMBER,RS,89.6
2011,NUMBER,RS,152.7
2012,NUMBER,RS,164.9
2013,NUMBER,RS,192.4
2014,NUMBER,RS,189.9
2015,NUMBER,RS,193.9
2016,NUMBER,RS,184.3
2017,NUMBER,RS,165.4
2018,NUMBER,RS,161.4
2019,NUMBER,RS,158.0
2002,NUMBER,BD,90.1
2003,NUMBER,BD,122.1
2004,NUMBER,BD,122.8
2005,NUMBER,BD,127.1
2006,NUMBER,BD,135.2
2007,NUMBER,BD,132.0
2008,NUMBER,BD,120.6
2009,NUMBER,BD,207.5
2010,NUMBER,BD,249.2
2011,NUMBER,BD,324.6
2012,NUMBER,BD,335.7
2013,NUMBER,BD,307.1
2014,NUMBER,BD,378.6
2015,NUMBER,BD,464.2
2016,NUMBER,BD,442.6
2017,NUMBER,BD,410.9
2018,NUMBER,BD,471.5
2019,NUMBER,BD,312.2
