Year,UNIT_MEASURE,Value
2008,NUMBER,189.5
2009,NUMBER,190.0
2010,NUMBER,157.8
2011,NUMBER,217.3
2012,NUMBER,232.3
2013,NUMBER,235.1
2014,NUMBER,240.7
2015,NUMBER,249.3
2016,NUMBER,254.2
2017,NUMBER,258.6
2018,NUMBER,279.6
