Year,UNIT_MEASURE,QUANTITY,Ентитет,Value
2000,Број,per_capita,BiH,2542.00
2001,Број,per_capita,BiH,2759.00
2002,Број,per_capita,BiH,3044.00
2003,Број,per_capita,BiH,3211.00
2004,Број,per_capita,BiH,3512.00
2005,Број,per_capita,BiH,4983.00
2006,Број,per_capita,BiH,5663.00
2007,Број,per_capita,BiH,6366.00
2008,Број,per_capita,BiH,7205.00
2009,Број,per_capita,BiH,7003.00
2010,Број,per_capita,BiH,7165.00
2011,Број,per_capita,BiH,7414.00
2012,Број,per_capita,BiH,7418.00
2013,Број,per_capita,BiH,7584.00
2014,Број,per_capita,BiH,7759.00
2015,Број,per_capita,BiH,8127.00
2016,Број,per_capita,BiH,8517.00
2017,Број,per_capita,BiH,8954.00
2018,Број,per_capita,BiH,9566.00
2019,Број,per_capita,BiH,10128.00
