Year,UNIT_MEASURE,Ентитет,Value
2006,_%,BiH,23.3
2006,_%,Федерација БиХ,23.3
2006,_%,Република Српска,23.3
2006,_%,Брчко Дистрикт БиХ,21.3
2011,_%,BiH,9.0
2011,_%,Федерација БиХ,9.9
2011,_%,Република Српска,6.7
2011,_%,Брчко Дистрикт БиХ,13.1
