Year,UNIT_MEASURE,Пол,Године,Ентитет,Value
2013,Број,Оба пола или без подјеле по полу,0-4,Федерација БиХ,114843
2013,Број,Оба пола или без подјеле по полу,5-9,Федерација БиХ,116052
2013,Број,Оба пола или без подјеле по полу,10-14,Федерација БиХ,126053
2013,Број,Оба пола или без подјеле по полу,15-19,Федерација БиХ,161881
2013,Број,Оба пола или без подјеле по полу,20-24,Федерација БиХ,150902
2013,Број,Оба пола или без подјеле по полу,25-29,Федерација БиХ,164203
2013,Број,Оба пола или без подјеле по полу,30-34,Федерација БиХ,160988
2013,Број,Оба пола или без подјеле по полу,35-39,Федерација БиХ,157715
2013,Број,Оба пола или без подјеле по полу,40-44,Федерација БиХ,154830
2013,Број,Оба пола или без подјеле по полу,45-49,Федерација БиХ,167109
2013,Број,Оба пола или без подјеле по полу,50-54,Федерација БиХ,173996
2013,Број,Оба пола или без подјеле по полу,55-59,Федерација БиХ,156089
2013,Број,Оба пола или без подјеле по полу,60-64,Федерација БиХ,128613
2013,Број,Оба пола или без подјеле по полу,65-69,Федерација БиХ,88391
2013,Број,Оба пола или без подјеле по полу,70-74,Федерација БиХ,81023
2013,Број,Оба пола или без подјеле по полу,75-79,Федерација БиХ,65613
2013,Број,Оба пола или без подјеле по полу,80-84,Федерација БиХ,35227
2013,Број,Оба пола или без подјеле по полу,85+,Федерација БиХ,15692
2013,Број,Оба пола или без подјеле по полу,Unknown,Федерација БиХ,0
2013,Број,Оба пола или без подјеле по полу,Total,Федерација БиХ,2219220
2013,Број,Оба пола или без подјеле по полу,0-14,Федерација БиХ,356948
2013,Број,Оба пола или без подјеле по полу,15-29,Федерација БиХ,476986
2013,Број,Оба пола или без подјеле по полу,15-49,Федерација БиХ,1117628
2013,Број,Оба пола или без подјеле по полу,15-64,Федерација БиХ,1576326
2013,Број,Оба пола или без подјеле по полу,65+,Федерација БиХ,285946
2013,Број,Оба пола или без подјеле по полу,75+,Федерација БиХ,116532
2013,Број,Мушкарци,0-4,Федерација БиХ,59017
2013,Број,Мушкарци,5-9,Федерација БиХ,59633
