Year,UNIT_MEASURE,Entity,Value
1997,Broj,RS,0.42
1998,Broj,RS,1.59
1999,Broj,RS,0.5
2001,Broj,RS,0.42
2002,Broj,RS,0.33
2003,Broj,FBIH,0.34
2003,Broj,RS,0.34
2004,Broj,FBIH,0.43
2004,Broj,RS,0.08
2005,Broj,FBIH,0.47
2006,Broj,FBIH,0.52
2006,Broj,RS,0.35
2007,Broj,FBIH,0.17
2007,Broj,RS,0.07
2008,Broj,FBIH,0.3
2009,Broj,FBIH,0.17
2009,Broj,RS,0.28
2010,Broj,FBIH,0.13
2010,Broj,RS,0.28
2011,Broj,FBIH,0.86
2011,Broj,RS,0.35
2012,Broj,FBIH,0.73
2012,Broj,RS,0.56
2013,Broj,FBIH,0.68
2013,Broj,RS,0.56
2014,Broj,FBIH,0.64
2014,Broj,RS,0.14
2015,Broj,FBIH,0.43
2015,Broj,RS,0.17
2016,Broj,FBIH,0.73
2016,Broj,RS,0.6
2017,Broj,FBIH,0.32
2017,Broj,RS,0.43
2018,Broj,FBIH,0.87
2018,Broj,RS,0.44
2019,Broj,FBIH,0.96
