Year,UNIT_MEASURE,Ентитет,Value
2008,Број,BiH,4105.0
2008,Број,FBiH,4105.0
2009,Број,BiH,3806.0
2009,Број,FBiH,3806.0
2010,Број,BiH,3080.0
2010,Број,FBiH,3080.0
2011,Број,BiH,4598.0
2011,Број,FBiH,4598.0
2012,Број,BiH,4823.0
2012,Број,FBiH,4823.0
2013,Број,BiH,4597.0
2013,Број,FBiH,4597.0
2014,Број,BiH,4730.0
2014,Број,FBiH,4730.0
2015,Број,BiH,4788.0
2015,Број,FBiH,4788.0
2016,Број,BiH,4909.0
2016,Број,FBiH,4909.0
2017,Број,BiH,5038.0
2017,Број,FBiH,5038.0
2018,Број,BiH,4910.0
2018,Број,FBiH,4910.0
