Year,UNIT_MEASURE,Administrative area,Value
2008,Number,BiH,4105.0
2008,Number,FBiH,4105.0
2009,Number,BiH,3806.0
2009,Number,FBiH,3806.0
2010,Number,BiH,3080.0
2010,Number,FBiH,3080.0
2011,Number,BiH,4598.0
2011,Number,FBiH,4598.0
2012,Number,BiH,4823.0
2012,Number,FBiH,4823.0
2013,Number,BiH,4597.0
2013,Number,FBiH,4597.0
2014,Number,BiH,4730.0
2014,Number,FBiH,4730.0
2015,Number,BiH,4788.0
2015,Number,FBiH,4788.0
2016,Number,BiH,4909.0
2016,Number,FBiH,4909.0
2017,Number,BiH,5038.0
2017,Number,FBiH,5038.0
2018,Number,BiH,4910.0
2018,Number,FBiH,4910.0
