Year,UNIT_MEASURE,Administrative area,Value
1999,Number,Republika Srpska,457
2000,Number,Republika Srpska,393
2001,Number,Republika Srpska,382
2002,Number,Republika Srpska,334
2003,Number,Republika Srpska,325
2004,Number,Republika Srpska,307
2005,Number,Republika Srpska,263
2006,Number,Republika Srpska,278
2007,Number,Federation of BiH,351
2007,Number,Republika Srpska,313
2008,Number,Federation of BiH,348
2008,Number,Republika Srpska,310
2009,Number,Federation of BiH,361
2009,Number,Republika Srpska,306
2010,Number,Federation of BiH,368
2010,Number,Republika Srpska,305
2011,Number,Federation of BiH,368
2011,Number,Republika Srpska,308
2012,Number,Federation of BiH,366
2012,Number,Republika Srpska,319
2013,Number,Federation of BiH,350
2013,Number,Republika Srpska,320
2014,Number,Federation of BiH,358
2014,Number,Republika Srpska,326
2015,Number,Federation of BiH,357
2015,Number,Republika Srpska,400
2016,Number,Federation of BiH,377
2016,Number,Republika Srpska,400
2017,Number,Federation of BiH,373
2017,Number,Republika Srpska,395
2018,Number,Federation of BiH,362
2018,Number,Republika Srpska,420
2019,Number,Federation of BiH,359
2019,Number,Brčko District of BiH,359
