Year,UNIT_MEASURE,Entitet,Value
2005,Broj,Republika Srpska,19.13
2006,Broj,Republika Srpska,18.76
2007,Broj,FBiH,14.97
2007,Broj,Republika Srpska,24.9
2008,Broj,FBiH,11.02
2008,Broj,Republika Srpska,26.43
2009,Broj,FBiH,14.89
2009,Broj,Republika Srpska,26.07
2010,Broj,FBiH,12.65
2010,Broj,Republika Srpska,37.12
2011,Broj,FBiH,10.31
2011,Broj,Republika Srpska,23.99
2012,Broj,FBiH,14.78
2013,Broj,FBiH,8.41
2014,Broj,FBiH,14.36
2015,Broj,FBiH,13.44
2016,Broj,FBiH,19.13
2016,Broj,Republika Srpska,32.42
2017,Broj,FBiH,10.26
