Year,UNIT_MEASURE,Value
1999,Broj,352
2000,Broj,341
2001,Broj,324
2002,Broj,313
2003,Broj,328
2004,Broj,359
2005,Broj,399
2006,Broj,467
2007,Broj,1037
2008,Broj,1083
2009,Broj,1156
2010,Broj,1209
2011,Broj,1179
2012,Broj,1274
2013,Broj,1350
2014,Broj,1356
2015,Broj,1355
2016,Broj,1377
2017,Broj,1404
2018,Broj,1498
2019,Broj,873
