Year,UNIT_MEASURE,Value
1997,Number,5.0
1998,Number,19.0
1999,Number,6.0
2001,Number,5.0
2002,Number,4.0
2003,Number,12.0
2004,Number,11.0
2005,Number,11.0
2006,Number,17.0
2007,Number,5.0
2008,Number,7.0
2009,Number,8.0
2010,Number,7.0
2011,Number,25.0
2012,Number,25.0
2013,Number,24.0
2014,Number,17.0
2015,Number,12.0
2016,Number,23.0
2017,Number,12.0
2018,Number,24.0
2019,Number,21.0
