Year,UNIT_MEASURE,school_year_end,Type_of_school,Spol,Value
2013,Broj,2013/2014,art_schools,M,133
2013,Broj,2014/2015,art_schools,M,161
2013,Broj,2015/2016,art_schools,M,111
2013,Broj,2016/2017,art_schools,M,80
2013,Broj,2017/2018,art_schools,M,108
2013,Broj,2018/2019,art_schools,M,111
2013,Broj,2019/2020,art_schools,M,80
2013,Broj,2010/2011,religion_schools,M,228
2013,Broj,2011/2012,religion_schools,M,176
2013,Broj,2012/2013,religion_schools,M,209
2013,Broj,2013/2014,religion_schools,M,260
2013,Broj,2014/2015,religion_schools,M,296
2013,Broj,2015/2016,religion_schools,M,242
2013,Broj,2016/2017,religion_schools,M,241
2013,Broj,2017/2018,religion_schools,M,253
2013,Broj,2018/2019,religion_schools,M,251
2013,Broj,2019/2020,religion_schools,M,259
2013,Broj,2010/2011,vocational_schools,M,5576
2013,Broj,2011/2012,vocational_schools,M,6443
2013,Broj,2012/2013,vocational_schools,M,7094
2013,Broj,2013/2014,vocational_schools,M,7549
2013,Broj,2014/2015,vocational_schools,M,6355
2013,Broj,2015/2016,vocational_schools,M,5047
2013,Broj,2016/2017,vocational_schools,M,5142
2013,Broj,2017/2018,vocational_schools,M,5068
2013,Broj,2018/2019,vocational_schools,M,4947
2013,Broj,2019/2020,vocational_schools,M,5195
2013,Broj,2010/2011,high_schools_for_children_with_special_needs,M,65
2013,Broj,2011/2012,high_schools_for_children_with_special_needs,M,60
2013,Broj,2012/2013,high_schools_for_children_with_special_needs,M,78
2013,Broj,2013/2014,high_schools_for_children_with_special_needs,M,132
2013,Broj,2014/2015,high_schools_for_children_with_special_needs,M,79
2013,Broj,2015/2016,high_schools_for_children_with_special_needs,M,72
2013,Broj,2016/2017,high_schools_for_children_with_special_needs,M,67
2013,Broj,2017/2018,high_schools_for_children_with_special_needs,M,82
2013,Broj,2018/2019,high_schools_for_children_with_special_needs,M,82
2013,Broj,2019/2020,high_schools_for_children_with_special_needs,M,66
2013,Broj,2010/2011,_T,Ž,17327
2013,Broj,2011/2012,_T,Ž,16638
2013,Broj,2012/2013,_T,Ž,19735
2013,Broj,2013/2014,_T,Ž,21402
2013,Broj,2014/2015,_T,Ž,21088
2013,Broj,2015/2016,_T,Ž,17433
2013,Broj,2016/2017,_T,Ž,15454
2013,Broj,2017/2018,_T,Ž,16383
2013,Broj,2018/2019,_T,Ž,16021
2013,Broj,2019/2020,_T,Ž,15158
2013,Broj,2010/2011,gymnasium,Ž,5617
2013,Broj,2011/2012,gymnasium,Ž,5080
2013,Broj,2012/2013,gymnasium,Ž,6090
2013,Broj,2013/2014,gymnasium,Ž,6909
2013,Broj,2014/2015,gymnasium,Ž,7492
2013,Broj,2015/2016,gymnasium,Ž,5798
2013,Broj,2016/2017,gymnasium,Ž,4998
2013,Broj,2017/2018,gymnasium,Ž,4930
2013,Broj,2018/2019,gymnasium,Ž,4643
2013,Broj,2019/2020,gymnasium,Ž,4472
2013,Broj,2010/2011,technical_schools,Ž,8716
2013,Broj,2011/2012,technical_schools,Ž,8220
2013,Broj,2012/2013,technical_schools,Ž,9944
2013,Broj,2013/2014,technical_schools,Ž,10730
2013,Broj,2014/2015,technical_schools,Ž,10515
2013,Broj,2015/2016,technical_schools,Ž,9037
2013,Broj,2016/2017,technical_schools,Ž,7933
2013,Broj,2017/2018,technical_schools,Ž,8788
2013,Broj,2018/2019,technical_schools,Ž,8783
2013,Broj,2019/2020,technical_schools,Ž,8272
2013,Broj,2010/2011,art_schools,Ž,163
2013,Broj,2011/2012,art_schools,Ž,173
2013,Broj,2012/2013,art_schools,Ž,179
2013,Broj,2013/2014,art_schools,Ž,185
2013,Broj,2014/2015,art_schools,Ž,196
2013,Broj,2015/2016,art_schools,Ž,177
2013,Broj,2016/2017,art_schools,Ž,134
2013,Broj,2017/2018,art_schools,Ž,194
2013,Broj,2018/2019,art_schools,Ž,170
2013,Broj,2019/2020,art_schools,Ž,161
2013,Broj,2010/2011,religion_schools,Ž,219
2013,Broj,2011/2012,religion_schools,Ž,180
2013,Broj,2012/2013,religion_schools,Ž,251
2013,Broj,2013/2014,religion_schools,Ž,257
2013,Broj,2014/2015,religion_schools,Ž,306
2013,Broj,2015/2016,religion_schools,Ž,261
2013,Broj,2016/2017,religion_schools,Ž,235
2013,Broj,2017/2018,religion_schools,Ž,277
2013,Broj,2018/2019,religion_schools,Ž,302
2013,Broj,2019/2020,religion_schools,Ž,259
2013,Broj,2010/2011,vocational_schools,Ž,2578
2013,Broj,2011/2012,vocational_schools,Ž,2943
2013,Broj,2012/2013,vocational_schools,Ž,3237
2013,Broj,2013/2014,vocational_schools,Ž,3257
2013,Broj,2014/2015,vocational_schools,Ž,2535
2013,Broj,2015/2016,vocational_schools,Ž,2114
2013,Broj,2016/2017,vocational_schools,Ž,2118
2013,Broj,2017/2018,vocational_schools,Ž,2156
2013,Broj,2018/2019,vocational_schools,Ž,2071
2013,Broj,2019/2020,vocational_schools,Ž,1954
2013,Broj,2010/2011,high_schools_for_children_with_special_needs,Ž,34
2013,Broj,2011/2012,high_schools_for_children_with_special_needs,Ž,42
2013,Broj,2012/2013,high_schools_for_children_with_special_needs,Ž,34
2013,Broj,2013/2014,high_schools_for_children_with_special_needs,Ž,64
2013,Broj,2014/2015,high_schools_for_children_with_special_needs,Ž,44
2013,Broj,2015/2016,high_schools_for_children_with_special_needs,Ž,46
2013,Broj,2016/2017,high_schools_for_children_with_special_needs,Ž,36
2013,Broj,2017/2018,high_schools_for_children_with_special_needs,Ž,38
2013,Broj,2018/2019,high_schools_for_children_with_special_needs,Ž,52
2013,Broj,2019/2020,high_schools_for_children_with_special_needs,Ž,40
