Year,UNIT_MEASURE,Административно подручје,Value
2008,Број,Федерација БиХ,189.5
2009,Број,Федерација БиХ,190.0
2010,Број,Федерација БиХ,157.8
2010,Број,Република Српска,204.9
2011,Број,Федерација БиХ,217.3
2011,Број,Република Српска,218.3
2012,Број,Федерација БиХ,232.3
2012,Број,Република Српска,226.9
2013,Број,Федерација БиХ,235.1
2013,Број,Република Српска,251.7
2014,Број,Федерација БиХ,240.7
2014,Број,Република Српска,237.9
2015,Број,Федерација БиХ,249.3
2015,Број,Република Српска,263.7
2016,Број,Федерација БиХ,254.2
2016,Број,Република Српска,272.1
2017,Број,Федерација БиХ,258.6
2017,Број,Република Српска,290.1
2018,Број,Федерација БиХ,279.6
