Year,UNIT_MEASURE,Spol,Value
1981,Starosna dob,M,28.7
1991,Starosna dob,M,33.0
2013,Starosna dob,M,38.2
1981,Starosna dob,Ž,30.5
1991,Starosna dob,Ž,35.0
2013,Starosna dob,Ž,40.7
