Year,UNIT_MEASURE,Administrative area,Value
Number,BiH,88.2,88.2
Number,BiH,93.3,93.3
Number,BiH,56.3,56.3
Number,BiH,79.03,79.02670112
Number,BiH,87.69,87.68640057
Number,BiH,88.78,88.77714489
Number,BiH,88.09,88.09425949
Number,BiH,104.72,104.7187469
Number,BiH,112.91,112.9112414
Number,BiH,92.51,92.50952588
Number,BiH,68.44,68.443286
Number,BiH,81.25,81.25172827
Number,BiH,77.16,77.1592019
Number,BiH,77.72,77.72197157
Number,BiH,61.8,61.80307887
Number,BiH,67.95,67.94940144
Number,BiH,85.77,85.76838442
Number,BiH,120.54,120.5366465
Number,BiH,125.8,125.8020291
Number,BiH,148.05,148.0451682
Number,BiH,144.08,144.0755243
Number,BiH,150.51,150.513055
Number,BiH,143.94,143.9397872
Number,BiH,151.33,151.3345686
Number,BiH,155.24,155.2408217
Number,BiH,147.21,147.2140144
Number,Federation of BiH,25.7,25.7282875
Number,Federation of BiH,68.4,68.36436087
Number,Federation of BiH,77.9,77.94383754
Number,Federation of BiH,84.1,84.07420371
Number,Federation of BiH,84.9,84.92874622
Number,Federation of BiH,100.8,100.7994984
Number,Federation of BiH,110.5,110.4818062
Number,Federation of BiH,89.6,89.60464051
Number,Federation of BiH,62.6,62.57758306
Number,Federation of BiH,70.9,70.92511013
Number,Federation of BiH,71.7,71.70304334
Number,Federation of BiH,69.6,69.62452728
Number,Federation of BiH,62.9,62.91501777
Number,Federation of BiH,58.9,58.88807608
Number,Federation of BiH,76.5,76.53218355
Number,Federation of BiH,97.0,96.98943522
Number,Federation of BiH,97.5,97.51243781
Number,Federation of BiH,119.8,119.8488709
Number,Federation of BiH,110.2,110.2487064
Number,Federation of BiH,115.8,115.7878508
Number,Federation of BiH,113.0,112.9788898
Number,Federation of BiH,132.8,132.7535786
Number,Federation of BiH,139.6,139.5758365
Number,Federation of BiH,136.4,136.3932822
Number,Republika Srpska,95.1,95.07911163
Number,Republika Srpska,102.1,102.1430559
Number,Republika Srpska,93.5,93.50057013
Number,Republika Srpska,92.6,92.64590421
Number,Republika Srpska,115.6,115.6149882
Number,Republika Srpska,117.2,117.2404258
Number,Republika Srpska,109.9,109.9128379
Number,Republika Srpska,89.2,89.17821644
Number,Republika Srpska,105.9,105.8737151
Number,Republika Srpska,76.7,76.67638484
Number,Republika Srpska,84.0,84.026505
Number,Republika Srpska,49.5,49.52351195
Number,Republika Srpska,74.2,74.21301582
Number,Republika Srpska,89.6,89.64799723
Number,Republika Srpska,152.7,152.7059635
Number,Republika Srpska,164.9,164.851671
Number,Republika Srpska,192.4,192.427291
Number,Republika Srpska,189.9,189.9364589
Number,Republika Srpska,193.9,193.8931298
Number,Republika Srpska,184.3,184.2531008
Number,Republika Srpska,165.4,165.4350017
Number,Republika Srpska,161.4,161.4146832
Number,Republika Srpska,158.0,158.0212985
Number,Brčko District of BiH,90.1,90.0621118
Number,Brčko District of BiH,122.1,122.1374046
Number,Brčko District of BiH,122.8,122.7621483
Number,Brčko District of BiH,127.1,127.0553064
Number,Brčko District of BiH,135.2,135.2154532
Number,Brčko District of BiH,132.0,132.0224719
Number,Brčko District of BiH,120.6,120.5882353
Number,Brčko District of BiH,207.5,207.4626866
Number,Brčko District of BiH,249.2,249.1909385
Number,Brčko District of BiH,324.6,324.6329527
Number,Brčko District of BiH,335.7,335.7041252
Number,Brčko District of BiH,307.1,307.073955
Number,Brčko District of BiH,378.6,378.5822021
Number,Brčko District of BiH,464.2,464.1791045
Number,Brčko District of BiH,442.6,442.5727412
Number,Brčko District of BiH,410.9,410.8635097
Number,Brčko District of BiH,471.5,471.5189873
Number,Brčko District of BiH,312.2,312.1869783
