Year,UNIT_MEASURE,Value
1997,EUR,912
1998,EUR,1062
1999,EUR,1181
2000,EUR,1300
2001,EUR,1411
2002,EUR,1556
2003,EUR,1642
2004,EUR,1796
2005,EUR,2548
2006,EUR,2895
2007,EUR,3255
2008,EUR,3684
2009,EUR,3581
2010,EUR,3664
2011,EUR,3791
2012,EUR,3793
2013,EUR,3878
2014,EUR,3967
2015,EUR,4155
2016,EUR,4355
2017,EUR,4578
2018,EUR,4891
2019,EUR,5178
1997,BAM,1798
1998,BAM,2094
1999,BAM,2310
2000,BAM,2542
2001,BAM,2759
2002,BAM,3044
2003,BAM,3211
2004,BAM,3512
2005,BAM,4983
2006,BAM,5663
2007,BAM,6366
2008,BAM,7205
2009,BAM,7003
2010,BAM,7165
2011,BAM,7414
2012,BAM,7418
2013,BAM,7584
2014,BAM,7759
2015,BAM,8127
2016,BAM,8517
2017,BAM,8954
2018,BAM,9566
2019,BAM,10128
1997,USD,1037
1998,USD,1189
1999,USD,1259
2000,USD,1200
2001,USD,1263
2002,USD,1466
2003,USD,1852
2004,USD,2229
2005,USD,3168
2006,USD,3632
2007,USD,4453
2008,USD,5390
2009,USD,4978
2010,USD,4851
2011,USD,5273
2012,USD,4872
2013,USD,5147
2014,USD,5265
2015,USD,4611
2016,USD,4818
2017,USD,5160
2018,USD,5771
2019,USD,5797
