Year,Administrativna oblast,UNIT_MEASURE,Value
1971,BiH,Broj na 1.000 stanovnika,9.4
1981,BiH,Broj na 1.000 stanovnika,8.9
1991,BiH,Broj na 1.000 stanovnika,6.5
1996,BiH,Broj na 1.000 stanovnika,5.8
1997,BiH,Broj na 1.000 stanovnika,6.2
1998,BiH,Broj na 1.000 stanovnika,6.1
1999,BiH,Broj na 1.000 stanovnika,6.0
2000,BiH,Broj na 1.000 stanovnika,5.8
2001,BiH,Broj na 1.000 stanovnika,5.3
2002,BiH,Broj na 1.000 stanovnika,5.3
2003,BiH,Broj na 1.000 stanovnika,5.4
2004,BiH,Broj na 1.000 stanovnika,5.8
2005,BiH,Broj na 1.000 stanovnika,5.6
2006,BiH,Broj na 1.000 stanovnika,5.6
2007,BiH,Broj na 1.000 stanovnika,6.12
2008,BiH,Broj na 1.000 stanovnika,5.77
2009,BiH,Broj na 1.000 stanovnika,5.37
2010,BiH,Broj na 1.000 stanovnika,5.08
2011,BiH,Broj na 1.000 stanovnika,4.99
2012,BiH,Broj na 1.000 stanovnika,4.75
2013,BiH,Broj na 1.000 stanovnika,5.0
2014,BiH,Broj na 1.000 stanovnika,5.3
2015,BiH,Broj na 1.000 stanovnika,5.6
2016,BiH,Broj na 1.000 stanovnika,5.5
2017,BiH,Broj na 1.000 stanovnika,5.7
2018,BiH,Broj na 1.000 stanovnika,5.7
2019,BiH,Broj na 1.000 stanovnika,5.4
1996,Federacija BiH,Broj na 1.000 stanovnika,6.5
1997,Federacija BiH,Broj na 1.000 stanovnika,6.8
1998,Federacija BiH,Broj na 1.000 stanovnika,6.7
1999,Federacija BiH,Broj na 1.000 stanovnika,6.3
2000,Federacija BiH,Broj na 1.000 stanovnika,6.0
2001,Federacija BiH,Broj na 1.000 stanovnika,5.5
2002,Federacija BiH,Broj na 1.000 stanovnika,5.6
2003,Federacija BiH,Broj na 1.000 stanovnika,5.6
2004,Federacija BiH,Broj na 1.000 stanovnika,5.9
2005,Federacija BiH,Broj na 1.000 stanovnika,5.8
2006,Federacija BiH,Broj na 1.000 stanovnika,5.6
2007,Federacija BiH,Broj na 1.000 stanovnika,6.4
2008,Federacija BiH,Broj na 1.000 stanovnika,6.4
2009,Federacija BiH,Broj na 1.000 stanovnika,5.9
2010,Federacija BiH,Broj na 1.000 stanovnika,5.6
2011,Federacija BiH,Broj na 1.000 stanovnika,5.4
2012,Federacija BiH,Broj na 1.000 stanovnika,5.2
2013,Federacija BiH,Broj na 1.000 stanovnika,4.9
2014,Federacija BiH,Broj na 1.000 stanovnika,5.4
2015,Federacija BiH,Broj na 1.000 stanovnika,5.9
2016,Federacija BiH,Broj na 1.000 stanovnika,5.8
2017,Federacija BiH,Broj na 1.000 stanovnika,5.9
2018,Federacija BiH,Broj na 1.000 stanovnika,5.9
2019,Federacija BiH,Broj na 1.000 stanovnika,5.6
1996,Republika Srpska,Broj na 1.000 stanovnika,5.2
1997,Republika Srpska,Broj na 1.000 stanovnika,5.8
1998,Republika Srpska,Broj na 1.000 stanovnika,6.0
1999,Republika Srpska,Broj na 1.000 stanovnika,6.6
2000,Republika Srpska,Broj na 1.000 stanovnika,6.4
2001,Republika Srpska,Broj na 1.000 stanovnika,6.0
2002,Republika Srpska,Broj na 1.000 stanovnika,6.1
2003,Republika Srpska,Broj na 1.000 stanovnika,5.7
2004,Republika Srpska,Broj na 1.000 stanovnika,6.0
2005,Republika Srpska,Broj na 1.000 stanovnika,5.7
2006,Republika Srpska,Broj na 1.000 stanovnika,5.8
2007,Republika Srpska,Broj na 1.000 stanovnika,6.0
2008,Republika Srpska,Broj na 1.000 stanovnika,5.43
2009,Republika Srpska,Broj na 1.000 stanovnika,5.2
2010,Republika Srpska,Broj na 1.000 stanovnika,4.9
2011,Republika Srpska,Broj na 1.000 stanovnika,4.94
2012,Republika Srpska,Broj na 1.000 stanovnika,4.54
2013,Republika Srpska,Broj na 1.000 stanovnika,4.67
2014,Republika Srpska,Broj na 1.000 stanovnika,4.99
2015,Republika Srpska,Broj na 1.000 stanovnika,5.07
2016,Republika Srpska,Broj na 1.000 stanovnika,4.81
2017,Republika Srpska,Broj na 1.000 stanovnika,5.2
2018,Republika Srpska,Broj na 1.000 stanovnika,5.2
2019,Republika Srpska,Broj na 1.000 stanovnika,5.1
2006,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.9
2007,Brčko distrikt BiH,Broj na 1.000 stanovnika,9.41
2008,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.98
2009,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.85
2010,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.2
2011,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.1
2012,Brčko distrikt BiH,Broj na 1.000 stanovnika,9.29
2013,Brčko distrikt BiH,Broj na 1.000 stanovnika,7.5
2014,Brčko distrikt BiH,Broj na 1.000 stanovnika,7.9
2015,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.0
2016,Brčko distrikt BiH,Broj na 1.000 stanovnika,7.8
2017,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.6
2018,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.0
2019,Brčko distrikt BiH,Broj na 1.000 stanovnika,8.5
