Year,Entitet,Spol,UNIT_MEASURE,Value
2009,Brčko Distrikt BiH,Muškarci,Starost,30.3
2010,Brčko Distrikt BiH,Muškarci,Starost,29.3
2011,Brčko Distrikt BiH,Muškarci,Starost,30.5
2012,Brčko Distrikt BiH,Muškarci,Starost,30.7
2013,Brčko Distrikt BiH,Muškarci,Starost,32.7
2014,Brčko Distrikt BiH,Muškarci,Starost,30.7
2015,Brčko Distrikt BiH,Muškarci,Starost,30.7
2016,Brčko Distrikt BiH,Muškarci,Starost,33.8
2017,Brčko Distrikt BiH,Muškarci,Starost,32.2
2018,Brčko Distrikt BiH,Muškarci,Starost,32.4
2019,Brčko Distrikt BiH,Muškarci,Starost,32.2
2004,Brčko Distrikt BiH,Žene,Starost,26.9
2005,Brčko Distrikt BiH,Žene,Starost,26.7
2006,Brčko Distrikt BiH,Žene,Starost,26.0
2007,Brčko Distrikt BiH,Žene,Starost,27.8
2008,Brčko Distrikt BiH,Žene,Starost,26.6
2009,Brčko Distrikt BiH,Žene,Starost,27.1
2010,Brčko Distrikt BiH,Žene,Starost,27.0
2011,Brčko Distrikt BiH,Žene,Starost,27.3
2012,Brčko Distrikt BiH,Žene,Starost,27.8
2013,Brčko Distrikt BiH,Žene,Starost,29.0
2014,Brčko Distrikt BiH,Žene,Starost,28.1
2015,Brčko Distrikt BiH,Žene,Starost,27.8
2016,Brčko Distrikt BiH,Žene,Starost,30.7
2017,Brčko Distrikt BiH,Žene,Starost,29.0
2018,Brčko Distrikt BiH,Žene,Starost,29.2
2019,Brčko Distrikt BiH,Žene,Starost,29.4
