Year,UNIT_MEASURE,Value
2005,Broj,3.0
2007,Broj,3.0
2008,Broj,4.0
2009,Broj,5.0
2010,Broj,4.0
2011,Broj,2.0
2012,Broj,4.0
2013,Broj,3.0
2014,Broj,1.0
2016,Broj,3.0
2017,Broj,1.0
2018,Broj,9.0
2019,Broj,10.0
