Year,UNIT_MEASURE,Value
1997,Broj,1835
1998,Broj,1964
1999,Broj,1995
2000,Broj,1929
2001,Broj,2126
2002,Broj,2272
2003,Broj,1918
2004,Broj,1523
2005,Broj,1763
2006,Broj,1659
2007,Broj,1826
2008,Broj,1369
2009,Broj,1402
2010,Broj,1676
2011,Broj,2309
2012,Broj,2294
2013,Broj,2609
2014,Broj,2686
2015,Broj,2963
2016,Broj,2773
2017,Broj,3022
2018,Broj,3091
2019,Broj,2790
