Year,UNIT_MEASURE,Value
2020,Broj na 1.000 stanovnika,10.9
2025,Broj na 1.000 stanovnika,11.9
2030,Broj na 1.000 stanovnika,13.0
2035,Broj na 1.000 stanovnika,14.4
2040,Broj na 1.000 stanovnika,15.9
2045,Broj na 1.000 stanovnika,17.4
2050,Broj na 1.000 stanovnika,18.6
2055,Broj na 1.000 stanovnika,19.7
2060,Broj na 1.000 stanovnika,20.5
2065,Broj na 1.000 stanovnika,21.3
2070,Broj na 1.000 stanovnika,22.0
