Year,PYRAMID_SEX,UNIT_MEASURE,PYRAMID_AGE,Value
2070,F,Broj,45-49,43127.9
2070,F,Broj,50-54,46831.98
2070,F,Broj,55-59,51467.74
2070,F,Broj,60-64,57677.27
2070,F,Broj,65-69,59360.94
2070,F,Broj,70-74,71963.48
2070,F,Broj,75-79,73853.08
2070,F,Broj,80-84,73335.96
2070,F,Broj,85-89,60535.41
2070,F,Broj,90-94,38056.84
2070,F,Broj,95-99,16864.48
2070,F,Broj,100-104,4587.93
2070,F,Broj,105-109,687.89
2070,F,Broj,110-114,35.07
2070,F,Broj,115-119,0.63
2070,F,Broj,120+,0.01
