Year,UNIT_MEASURE,Spol,Godine,Entitet,Value
2013,Broj,Žene,55-59,Federacija BiH,80521
2013,Broj,Žene,60-64,Federacija BiH,68714
2013,Broj,Žene,65-69,Federacija BiH,48953
2013,Broj,Žene,70-74,Federacija BiH,46578
2013,Broj,Žene,75-79,Federacija BiH,38918
2013,Broj,Žene,80-84,Federacija BiH,21734
2013,Broj,Žene,85+,Federacija BiH,10790
2013,Broj,Žene,Unknown,Federacija BiH,0
2013,Broj,Žene,Total,Federacija BiH,1131227
2013,Broj,Žene,0-14,Federacija BiH,173805
2013,Broj,Žene,15-29,Federacija BiH,232466
2013,Broj,Žene,15-49,Federacija BiH,552521
2013,Broj,Žene,15-64,Federacija BiH,790449
2013,Broj,Žene,65+,Federacija BiH,166973
2013,Broj,Žene,75+,Federacija BiH,71442
2013,Broj,Oba spola ili bez podjele po spolu,0-4,Republika Srpska,55056
2013,Broj,Oba spola ili bez podjele po spolu,5-9,Republika Srpska,56616
2013,Broj,Oba spola ili bez podjele po spolu,10-14,Republika Srpska,62018
2013,Broj,Oba spola ili bez podjele po spolu,15-19,Republika Srpska,75538
2013,Broj,Oba spola ili bez podjele po spolu,20-24,Republika Srpska,72218
2013,Broj,Oba spola ili bez podjele po spolu,25-29,Republika Srpska,82386
2013,Broj,Oba spola ili bez podjele po spolu,30-34,Republika Srpska,85654
2013,Broj,Oba spola ili bez podjele po spolu,35-39,Republika Srpska,85445
2013,Broj,Oba spola ili bez podjele po spolu,40-44,Republika Srpska,80163
2013,Broj,Oba spola ili bez podjele po spolu,45-49,Republika Srpska,87246
2013,Broj,Oba spola ili bez podjele po spolu,50-54,Republika Srpska,96006
2013,Broj,Oba spola ili bez podjele po spolu,55-59,Republika Srpska,96673
2013,Broj,Oba spola ili bez podjele po spolu,60-64,Republika Srpska,89490
2013,Broj,Oba spola ili bez podjele po spolu,65-69,Republika Srpska,61270
2013,Broj,Oba spola ili bez podjele po spolu,70-74,Republika Srpska,56073
2013,Broj,Oba spola ili bez podjele po spolu,75-79,Republika Srpska,48791
2013,Broj,Oba spola ili bez podjele po spolu,80-84,Republika Srpska,26009
2013,Broj,Oba spola ili bez podjele po spolu,85+,Republika Srpska,11771
2013,Broj,Oba spola ili bez podjele po spolu,Unknown,Republika Srpska,0
2013,Broj,Oba spola ili bez podjele po spolu,Total,Republika Srpska,1228423
2013,Broj,Oba spola ili bez podjele po spolu,0-14,Republika Srpska,173690
2013,Broj,Oba spola ili bez podjele po spolu,15-29,Republika Srpska,230142
2013,Broj,Oba spola ili bez podjele po spolu,15-49,Republika Srpska,568650
2013,Broj,Oba spola ili bez podjele po spolu,15-64,Republika Srpska,850819
2013,Broj,Oba spola ili bez podjele po spolu,65+,Republika Srpska,203914
2013,Broj,Oba spola ili bez podjele po spolu,75+,Republika Srpska,86571
2013,Broj,Muškarci,0-4,Republika Srpska,28247
2013,Broj,Muškarci,5-9,Republika Srpska,29013
2013,Broj,Muškarci,10-14,Republika Srpska,31749
2013,Broj,Muškarci,15-19,Republika Srpska,38883
2013,Broj,Muškarci,20-24,Republika Srpska,37252
2013,Broj,Muškarci,25-29,Republika Srpska,42221
2013,Broj,Muškarci,30-34,Republika Srpska,43747
2013,Broj,Muškarci,35-39,Republika Srpska,44081
2013,Broj,Muškarci,40-44,Republika Srpska,41347
2013,Broj,Muškarci,45-49,Republika Srpska,44057
2013,Broj,Muškarci,50-54,Republika Srpska,47525
2013,Broj,Muškarci,55-59,Republika Srpska,47146
2013,Broj,Muškarci,60-64,Republika Srpska,42672
2013,Broj,Muškarci,65-69,Republika Srpska,27882
2013,Broj,Muškarci,70-74,Republika Srpska,23950
2013,Broj,Muškarci,75-79,Republika Srpska,19565
2013,Broj,Muškarci,80-84,Republika Srpska,9763
2013,Broj,Muškarci,85+,Republika Srpska,3927
2013,Broj,Muškarci,Unknown,Republika Srpska,0
2013,Broj,Muškarci,Total,Republika Srpska,603027
2013,Broj,Muškarci,0-14,Republika Srpska,89009
2013,Broj,Muškarci,15-29,Republika Srpska,118356
2013,Broj,Muškarci,15-49,Republika Srpska,291588
2013,Broj,Muškarci,15-64,Republika Srpska,428931
2013,Broj,Muškarci,65+,Republika Srpska,85087
2013,Broj,Muškarci,75+,Republika Srpska,33255
2013,Broj,Žene,0-4,Republika Srpska,26809
2013,Broj,Žene,5-9,Republika Srpska,27603
2013,Broj,Žene,10-14,Republika Srpska,30269
2013,Broj,Žene,15-19,Republika Srpska,36655
2013,Broj,Žene,20-24,Republika Srpska,34966
2013,Broj,Žene,25-29,Republika Srpska,40165
2013,Broj,Žene,30-34,Republika Srpska,41907
2013,Broj,Žene,35-39,Republika Srpska,41364
2013,Broj,Žene,40-44,Republika Srpska,38816
2013,Broj,Žene,45-49,Republika Srpska,43189
2013,Broj,Žene,50-54,Republika Srpska,48481
2013,Broj,Žene,55-59,Republika Srpska,49527
2013,Broj,Žene,60-64,Republika Srpska,46818
2013,Broj,Žene,65-69,Republika Srpska,33388
2013,Broj,Žene,70-74,Republika Srpska,32123
2013,Broj,Žene,75-79,Republika Srpska,29226
2013,Broj,Žene,80-84,Republika Srpska,16246
2013,Broj,Žene,85+,Republika Srpska,7844
2013,Broj,Žene,Unknown,Republika Srpska,0
2013,Broj,Žene,Total,Republika Srpska,625396
2013,Broj,Žene,0-14,Republika Srpska,84681
2013,Broj,Žene,15-29,Republika Srpska,111786
2013,Broj,Žene,15-49,Republika Srpska,277062
2013,Broj,Žene,15-64,Republika Srpska,421888
2013,Broj,Žene,65+,Republika Srpska,118827
2013,Broj,Žene,75+,Republika Srpska,53316
2013,Broj,Oba spola ili bez podjele po spolu,0-4,Brčko Distrikt BiH,4165
2013,Broj,Oba spola ili bez podjele po spolu,5-9,Brčko Distrikt BiH,4312
2013,Broj,Oba spola ili bez podjele po spolu,10-14,Brčko Distrikt BiH,4604
2013,Broj,Oba spola ili bez podjele po spolu,15-19,Brčko Distrikt BiH,5323
2013,Broj,Oba spola ili bez podjele po spolu,20-24,Brčko Distrikt BiH,4936
2013,Broj,Oba spola ili bez podjele po spolu,25-29,Brčko Distrikt BiH,5729
2013,Broj,Oba spola ili bez podjele po spolu,30-34,Brčko Distrikt BiH,5991
2013,Broj,Oba spola ili bez podjele po spolu,35-39,Brčko Distrikt BiH,6106
2013,Broj,Oba spola ili bez podjele po spolu,40-44,Brčko Distrikt BiH,6145
2013,Broj,Oba spola ili bez podjele po spolu,45-49,Brčko Distrikt BiH,6573
