Year,UNIT_MEASURE,Value
2020,Broj na 1.000 stanovnika,8.6
2025,Broj na 1.000 stanovnika,7.9
2030,Broj na 1.000 stanovnika,7.3
2035,Broj na 1.000 stanovnika,6.6
2040,Broj na 1.000 stanovnika,6.6
2045,Broj na 1.000 stanovnika,6.5
2050,Broj na 1.000 stanovnika,6.4
2055,Broj na 1.000 stanovnika,6.3
2060,Broj na 1.000 stanovnika,6.2
2065,Broj na 1.000 stanovnika,6.1
2070,Broj na 1.000 stanovnika,6.1
