Year,UNIT_MEASURE,Entitet,Value
1971,Broj,BiH,6.6
1972,Broj,BiH,7.0
1973,Broj,BiH,6.4
1974,Broj,BiH,6.0
1975,Broj,BiH,6.4
1976,Broj,BiH,6.2
1977,Broj,BiH,6.1
1978,Broj,BiH,6.3
1979,Broj,BiH,6.1
1980,Broj,BiH,6.4
1981,Broj,BiH,6.3
1982,Broj,BiH,6.4
1983,Broj,BiH,7.2
1984,Broj,BiH,6.9
1985,Broj,BiH,6.9
1986,Broj,BiH,6.9
1987,Broj,BiH,6.9
1988,Broj,BiH,6.9
1989,Broj,BiH,7.0
1990,Broj,BiH,6.7
1991,Broj,BiH,7.2
1996,Broj,BiH,6.9
1997,Broj,BiH,7.5
1998,Broj,BiH,7.9
1999,Broj,BiH,7.7
2000,Broj,BiH,8.1
2001,Broj,BiH,8.0
2002,Broj,BiH,7.9
2003,Broj,BiH,8.3
2004,Broj,BiH,8.5
2005,Broj,BiH,9.0
2006,Broj,BiH,8.6
2007,Broj,BiH,9.1
2008,Broj,BiH,8.9
2009,Broj,BiH,9.1
2010,Broj,BiH,9.1
2011,Broj,BiH,9.1
2012,Broj,BiH,9.3
2013,Broj,BiH,10.1
2014,Broj,BiH,10.2
2015,Broj,BiH,10.8
2016,Broj,BiH,10.4
2017,Broj,BiH,10.8
2018,Broj,BiH,10.8
2019,Broj,BiH,11.1
1996,Broj,Federacija BiH,6.3
1997,Broj,Federacija BiH,6.9
1998,Broj,Federacija BiH,7.3
1999,Broj,Federacija BiH,7.1
2000,Broj,Federacija BiH,7.4
2001,Broj,Federacija BiH,7.3
2002,Broj,Federacija BiH,7.4
2003,Broj,Federacija BiH,7.9
2004,Broj,Federacija BiH,7.9
2005,Broj,Federacija BiH,8.3
2006,Broj,Federacija BiH,8.0
2007,Broj,Federacija BiH,8.7
2008,Broj,Federacija BiH,8.3
2009,Broj,Federacija BiH,8.3
2010,Broj,Federacija BiH,8.6
2011,Broj,Federacija BiH,8.8
2012,Broj,Federacija BiH,8.7
2013,Broj,Federacija BiH,8.9
2014,Broj,Federacija BiH,8.7
2015,Broj,Federacija BiH,9.8
2016,Broj,Federacija BiH,9.6
2017,Broj,Federacija BiH,9.9
2018,Broj,Federacija BiH,9.8
2019,Broj,Federacija BiH,10.1
1996,Broj,Republika Srpska,8.9
1997,Broj,Republika Srpska,9.6
1998,Broj,Republika Srpska,10.1
1999,Broj,Republika Srpska,10.2
2000,Broj,Republika Srpska,10.8
2001,Broj,Republika Srpska,10.8
2002,Broj,Republika Srpska,10.9
2003,Broj,Republika Srpska,10.9
2004,Broj,Republika Srpska,11.0
2005,Broj,Republika Srpska,11.6
2006,Broj,Republika Srpska,11.2
2007,Broj,Republika Srpska,12.0
2008,Broj,Republika Srpska,11.4
2009,Broj,Republika Srpska,11.7
2010,Broj,Republika Srpska,11.5
2011,Broj,Republika Srpska,11.6
2012,Broj,Republika Srpska,11.8
2013,Broj,Republika Srpska,11.9
2014,Broj,Republika Srpska,12.3
2015,Broj,Republika Srpska,13.0
2016,Broj,Republika Srpska,12.1
2017,Broj,Republika Srpska,12.7
2018,Broj,Republika Srpska,12.9
2019,Broj,Republika Srpska,13.2
2004,Broj,Brčko Distrikt BiH,10.5
2005,Broj,Brčko Distrikt BiH,11.0
2006,Broj,Brčko Distrikt BiH,9.8
2007,Broj,Brčko Distrikt BiH,10.8
2008,Broj,Brčko Distrikt BiH,11.8
2009,Broj,Brčko Distrikt BiH,12.1
2010,Broj,Brčko Distrikt BiH,12.0
2011,Broj,Brčko Distrikt BiH,12.6
2012,Broj,Brčko Distrikt BiH,12.2
2013,Broj,Brčko Distrikt BiH,11.2
2014,Broj,Brčko Distrikt BiH,12.0
2015,Broj,Brčko Distrikt BiH,13.4
2016,Broj,Brčko Distrikt BiH,11.9
2017,Broj,Brčko Distrikt BiH,13.2
2018,Broj,Brčko Distrikt BiH,12.4
2019,Broj,Brčko Distrikt BiH,13.6
