Year,UNIT_MEASURE,Municipality,Spol,Godine,Value
2013,Broj,Grude,Oba spola,Total,17308
2013,Broj,Grude,Muškarci,Total,8621
2013,Broj,Grude,Žene,Total,8687
2013,Broj,Sarajevo - Hadžići,Oba spola,Total,23891
2013,Broj,Sarajevo - Hadžići,Muškarci,Total,11914
2013,Broj,Sarajevo - Hadžići,Žene,Total,11977
2013,Broj,Han Pijesak,Oba spola,Total,3530
2013,Broj,Han Pijesak,Muškarci,Total,1667
2013,Broj,Han Pijesak,Žene,Total,1863
2013,Broj,Sarajevo - Ilidža,Oba spola,Total,66730
2013,Broj,Sarajevo - Ilidža,Muškarci,Total,32359
2013,Broj,Sarajevo - Ilidža,Žene,Total,34371
2013,Broj,Sarajevo - Ilijaš,Oba spola,Total,19603
2013,Broj,Sarajevo - Ilijaš,Muškarci,Total,9381
2013,Broj,Sarajevo - Ilijaš,Žene,Total,10222
2013,Broj,Istočna Ilidža,Oba spola,Total,14763
2013,Broj,Istočna Ilidža,Muškarci,Total,7069
2013,Broj,Istočna Ilidža,Žene,Total,7694
2013,Broj,Istočni Drvar,Oba spola,Total,79
2013,Broj,Istočni Drvar,Muškarci,Total,53
2013,Broj,Istočni Drvar,Žene,Total,26
2013,Broj,Istočni Mostar,Oba spola,Total,257
2013,Broj,Istočni Mostar,Muškarci,Total,142
2013,Broj,Istočni Mostar,Žene,Total,115
2013,Broj,Istočni Stari Grad,Oba spola,Total,1131
2013,Broj,Istočni Stari Grad,Muškarci,Total,560
2013,Broj,Istočni Stari Grad,Žene,Total,571
2013,Broj,Istočno Novo Sarajevo,Oba spola,Total,10642
2013,Broj,Istočno Novo Sarajevo,Muškarci,Total,5058
2013,Broj,Istočno Novo Sarajevo,Žene,Total,5584
2013,Broj,Jablanica,Oba spola,Total,10111
2013,Broj,Jablanica,Muškarci,Total,5027
2013,Broj,Jablanica,Žene,Total,5084
2013,Broj,Jajce,Oba spola,Total,27258
2013,Broj,Jajce,Muškarci,Total,13856
2013,Broj,Jajce,Žene,Total,13402
2013,Broj,Jezero,Oba spola,Total,1144
2013,Broj,Jezero,Muškarci,Total,601
2013,Broj,Jezero,Žene,Total,543
2013,Broj,Kakanj,Oba spola,Total,37441
2013,Broj,Kakanj,Muškarci,Total,18651
2013,Broj,Kakanj,Žene,Total,18790
2013,Broj,Kalesija,Oba spola,Total,33053
2013,Broj,Kalesija,Muškarci,Total,16597
2013,Broj,Kalesija,Žene,Total,16456
2013,Broj,Kalinovik,Oba spola,Total,2029
2013,Broj,Kalinovik,Muškarci,Total,987
2013,Broj,Kalinovik,Žene,Total,1042
2013,Broj,Kiseljak,Oba spola,Total,20722
2013,Broj,Kiseljak,Muškarci,Total,10285
2013,Broj,Kiseljak,Žene,Total,10437
2013,Broj,Kladanj,Oba spola,Total,12348
2013,Broj,Kladanj,Muškarci,Total,6108
2013,Broj,Kladanj,Žene,Total,6240
2013,Broj,Ključ,Oba spola,Total,16744
2013,Broj,Ključ,Muškarci,Total,8365
2013,Broj,Ključ,Žene,Total,8379
2013,Broj,Kneževo,Oba spola,Total,9793
2013,Broj,Kneževo,Muškarci,Total,4892
2013,Broj,Kneževo,Žene,Total,4901
2013,Broj,Konjic,Oba spola,Total,25148
2013,Broj,Konjic,Muškarci,Total,12360
2013,Broj,Konjic,Žene,Total,12788
2013,Broj,Kostajnica,Oba spola,Total,5977
2013,Broj,Kostajnica,Muškarci,Total,2967
2013,Broj,Kostajnica,Žene,Total,3010
2013,Broj,Kotor Varoš,Oba spola,Total,19710
2013,Broj,Kotor Varoš,Muškarci,Total,9818
2013,Broj,Kotor Varoš,Žene,Total,9892
2013,Broj,Kozarska Dubica,Oba spola,Total,21524
2013,Broj,Kozarska Dubica,Muškarci,Total,10516
2013,Broj,Kozarska Dubica,Žene,Total,11008
2013,Broj,Kreševo,Oba spola,Total,5273
2013,Broj,Kreševo,Muškarci,Total,2597
2013,Broj,Kreševo,Žene,Total,2676
2013,Broj,Krupa Na Uni,Oba spola,Total,1597
2013,Broj,Krupa Na Uni,Muškarci,Total,862
2013,Broj,Krupa Na Uni,Žene,Total,735
2013,Broj,Kupres - FBiH,Oba spola,Total,5057
2013,Broj,Kupres - FBiH,Muškarci,Total,2541
2013,Broj,Kupres - FBiH,Žene,Total,2516
2013,Broj,Kupres - RS,Oba spola,Total,300
2013,Broj,Kupres - RS,Muškarci,Total,160
2013,Broj,Kupres - RS,Žene,Total,140
2013,Broj,Laktaši,Oba spola,Total,34966
2013,Broj,Laktaši,Muškarci,Total,17320
2013,Broj,Laktaši,Žene,Total,17646
2013,Broj,Livno,Oba spola,Total,34133
2013,Broj,Livno,Muškarci,Total,17024
2013,Broj,Livno,Žene,Total,17109
2013,Broj,Lopare,Oba spola,Total,15357
2013,Broj,Lopare,Muškarci,Total,7749
2013,Broj,Lopare,Žene,Total,7608
2013,Broj,Lukavac,Oba spola,Total,44520
2013,Broj,Lukavac,Muškarci,Total,21786
2013,Broj,Lukavac,Žene,Total,22734
2013,Broj,Ljubinje,Oba spola,Total,3511
2013,Broj,Ljubinje,Muškarci,Total,1725
2013,Broj,Ljubinje,Žene,Total,1786
