Year,UNIT_MEASURE,Administrativna oblast,Value
2006,% od ukupno,BiH,60.5
2006,% od ukupno,Federacija BiH,59.0
2006,% od ukupno,Republika Srpska,63.6
2006,% od ukupno,Brčko distrikt BiH,52.0
2011,% od ukupno,BiH,84.0
2011,% od ukupno,Federacija BiH,81.5
2011,% od ukupno,Republika Srpska,88.9
2011,% od ukupno,Brčko distrikt BiH,65.3
