Year,UNIT_MEASURE,Spol,Value
2004,Starosna dob,Oba spola,37.8
2007,Starosna dob,Oba spola,38.3
2011,Starosna dob,Oba spola,39.7
2013,Starosna dob,Oba spola,39.5
2015,Starosna dob,Oba spola,41.9
2004,Starosna dob,M,36.8
2007,Starosna dob,M,37.2
2011,Starosna dob,M,38.6
2013,Starosna dob,M,38.2
2015,Starosna dob,M,40.5
2004,Starosna dob,Ž,38.7
2007,Starosna dob,Ž,39.4
2011,Starosna dob,Ž,40.8
2013,Starosna dob,Ž,40.7
2015,Starosna dob,Ž,43.3
