Year,UNIT_MEASURE,Entitet,Value
2005,Broj,BiH,351.0
2005,Broj,Republika Srpska,351.0
2006,Broj,BiH,331.0
2006,Broj,Republika Srpska,331.0
2007,Broj,BiH,918.0
2007,Broj,Federacija BiH,521.0
2007,Broj,Republika Srpska,397.0
2008,Broj,BiH,852.0
2008,Broj,Federacija BiH,425.0
2008,Broj,Republika Srpska,427.0
2009,Broj,BiH,963.0
2009,Broj,Federacija BiH,560.0
2009,Broj,Republika Srpska,403.0
2010,Broj,BiH,876.0
2010,Broj,Federacija BiH,465.0
2010,Broj,Republika Srpska,411.0
2011,Broj,BiH,852.0
2011,Broj,Federacija BiH,419.0
2011,Broj,Republika Srpska,433.0
2012,Broj,BiH,488.0
2012,Broj,Federacija BiH,488.0
2013,Broj,BiH,307.0
2013,Broj,Federacija BiH,307.0
2014,Broj,BiH,208.0
2014,Broj,Federacija BiH,208.0
2015,Broj,BiH,538.0
2015,Broj,Federacija BiH,538.0
2016,Broj,BiH,1023.0
2016,Broj,Federacija BiH,574.0
2016,Broj,Republika Srpska,449.0
2017,Broj,BiH,556.0
2017,Broj,Federacija BiH,556.0
