Year,UNIT_MEASURE,Spol,Godine,Value
1971,Broj,Muškarci,0-4,-207129
1971,Broj,Muškarci,5-9,-225726
1971,Broj,Muškarci,10-14,-225066
1971,Broj,Muškarci,15-19,-209215
1971,Broj,Muškarci,20-24,-162073
1971,Broj,Muškarci,25-29,-109724
1971,Broj,Muškarci,30-34,-140952
1971,Broj,Muškarci,35-39,-139035
1971,Broj,Muškarci,40-44,-118781
1971,Broj,Muškarci,45-49,-70017
1971,Broj,Muškarci,50-54,-41069
1971,Broj,Muškarci,55-59,-48828
1971,Broj,Muškarci,60-64,-53087
1971,Broj,Muškarci,65-69,-37590
1971,Broj,Muškarci,70-74,-23136
1971,Broj,Muškarci,75-79,-9502
1971,Broj,Muškarci,80-84,-4300
1971,Broj,Muškarci,85-89,-1636
1971,Broj,Muškarci,90-94,-555
1971,Broj,Muškarci,95-99,-158
1971,Broj,Muškarci,100-104,-15
1971,Broj,Muškarci,105-109,0
1971,Broj,Muškarci,110-114,0
1971,Broj,Muškarci,115-120,0
1981,Broj,Muškarci,0-4,-178030
1981,Broj,Muškarci,5-9,-185725
1981,Broj,Muškarci,10-14,-198722
1981,Broj,Muškarci,15-19,-220775
1981,Broj,Muškarci,20-24,-205585
1981,Broj,Muškarci,25-29,-170406
1981,Broj,Muškarci,30-34,-125706
1981,Broj,Muškarci,35-39,-91391
1981,Broj,Muškarci,40-44,-123183
1981,Broj,Muškarci,45-49,-123327
1981,Broj,Muškarci,50-54,-107239
1981,Broj,Muškarci,55-59,-62482
1981,Broj,Muškarci,60-64,-35034
1981,Broj,Muškarci,65-69,-37830
1981,Broj,Muškarci,70-74,-34700
1981,Broj,Muškarci,75-79,-19399
1981,Broj,Muškarci,80-84,-9446
1981,Broj,Muškarci,85-89,-2435
1981,Broj,Muškarci,90-94,-810
1981,Broj,Muškarci,95-99,-320
1981,Broj,Muškarci,100-104,-25
1981,Broj,Muškarci,105-109,0
1981,Broj,Muškarci,110-114,0
