Year,UNIT_MEASURE,Value
2003,Broj,0.34
2004,Broj,0.43
2005,Broj,0.47
2006,Broj,0.52
2007,Broj,0.17
2008,Broj,0.3
2009,Broj,0.17
2010,Broj,0.13
2011,Broj,0.86
2012,Broj,0.73
2013,Broj,0.68
2014,Broj,0.64
2015,Broj,0.43
2016,Broj,0.73
2017,Broj,0.32
2018,Broj,0.87
2019,Broj,0.96
