Year,UNIT_MEASURE,Entitet,Value
2002,Broj,BiH,3.0
2002,Broj,FBiH,3.0
2003,Broj,BiH,3.0
2003,Broj,FBiH,3.0
2004,Broj,BiH,3.0
2004,Broj,FBiH,3.0
2005,Broj,BiH,7.0
2005,Broj,FBiH,4.0
2005,Broj,Republika Srpska,3.0
2006,Broj,BiH,3.0
2006,Broj,FBiH,3.0
2007,Broj,BiH,4.0
2007,Broj,FBiH,4.0
2008,Broj,BiH,4.0
2008,Broj,FBiH,4.0
2009,Broj,BiH,2.0
2009,Broj,FBiH,2.0
2010,Broj,BiH,6.0
2010,Broj,FBiH,3.0
2010,Broj,Republika Srpska,3.0
2011,Broj,BiH,7.0
2011,Broj,FBiH,5.0
2011,Broj,Republika Srpska,2.0
2012,Broj,BiH,4.0
2012,Broj,FBiH,3.0
2012,Broj,Republika Srpska,1.0
2013,Broj,BiH,7.0
2013,Broj,FBiH,4.0
2013,Broj,Republika Srpska,3.0
2014,Broj,BiH,8.0
2014,Broj,FBiH,6.0
2014,Broj,Republika Srpska,2.0
2015,Broj,BiH,6.0
2015,Broj,FBiH,4.0
2015,Broj,Republika Srpska,2.0
2016,Broj,BiH,7.0
2016,Broj,FBiH,4.0
2016,Broj,Republika Srpska,3.0
2017,Broj,BiH,3.0
2017,Broj,FBiH,1.0
2017,Broj,Republika Srpska,2.0
2018,Broj,BiH,12.0
2018,Broj,FBiH,7.0
2018,Broj,Republika Srpska,5.0
2019,Broj,BiH,4.0
2019,Broj,FBiH,4.0
